naziv;opis;tip_ustanove;maticna_skola;sifra;podsifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web;podrucni_objekti
Osnovna škola ŽRNOVNICA;Osnovna škola;Matična škola;NA;17-126-022;0-0;Splitsko-dalmatinska;HRVATSKIH VELIKANA 41;21251  Žrnovnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Matija  Šitum;021/472-022 mob 0989776150 , 021/472-022 mob 0915974461;021/472-022;matija.situm4@gmail.com , roberta.donlic@gmail.com , ured@os-zrnovnica-st.skole.hr;www.os-zrnovnica-st.skole.hr;  Osnovna škola ŽRNOVNICA - Područna škola Sitno Donje   , HRVATSKIH DRAGOVOLJACA, 21251 Donje Sitno ,   Osnovna škola ŽRNOVNICA - Područna škola Sitno Gornje   , GORNJE SITNO, SVETOG ROKA 11, 21251 Gornje Sitno
OSNOVNA ŠKOLA SRINJINE;Osnovna škola;Matična škola;NA;17-126-023;0-0;Splitsko-dalmatinska;Bilaje 1,Srinjine;21292  Srinjine; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zrinka  Mužinić-Bikić;021/542-325 , 021/542-325;021/542-326;srinjine@os-srinjine.skole.hr;NA;NA
OSNOVNA ŠKOLA VISOKA;Osnovna škola;Matična škola;NA;17-126-024;0-0;Splitsko-dalmatinska;VRH VISOKE 32;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Natalija  Radić;021/476-158 , 021/476-158 , 021/476-158 , 021/476-158;021/474-630;visoka@os-visoka-st.skole.hr;NA;NA
Privatna osnovna škola Harfa;Osnovna škola;Matična škola;NA;17-126-025;0-0;Splitsko-dalmatinska;Osmih mediteranskih igara 2;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;NA;NA;info@posh.hr;NA;NA
OSNOVNA ŠKOLA STOBREČ;Osnovna škola;Matična škola;NA;17-126-027;0-0;Splitsko-dalmatinska;IVANKOVA 13;21311  Stobreč; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marina  Baćak;021 325-788 , 021/325-788 , 021/325-788;021/325-788;stobrec@os-stobrec.skole.hr;www.os-stobrec.skole.hr;NA
OSNOVNA ŠKOLA KAMEN-ŠINE;Osnovna škola;Matična škola;NA;17-126-028;0-0;Splitsko-dalmatinska;GOSPE OD KARMELA 1;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Bože  Ujević;021/325-722 , 021/326-708 , 021/326-729;021/458-730;ured@os-kamen-sine-st.skole.hr;NA;  OSNOVNA ŠKOLA KAMEN-ŠINE - Područna škola Sirobuja   , Mandićeva 34, 21000 Split
OSNOVNA ŠKOLA SLATINE;Osnovna škola;Matična škola;NA;17-126-029;0-0;Splitsko-dalmatinska;PUT LOVRETA 1;21224  Slatine; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željka  Ninčević;021/891-464 , 021/796-420 , 021/891-027;021/891-027;ured@os-slatine.skole.hr;http://www.os-slatine.skole.hr/;NA
Osnovna škola Žnjan-Pazdigrad;Osnovna škola;Matična škola;NA;17-126-032;0-0;Splitsko-dalmatinska;Pazdigradska 1;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željko  Jurin;021/587477;NA;ured@os-znjan-st.skole.hr;http://os-znjan-st.skole.hr/;NA
Centar za autizam Split;Osnovna škola;Matična škola;NA;17-126-033;0-0;Splitsko-dalmatinska;Rendićeva 6;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Anja  Jelaska;021384135 , 021686304;NA;info@cza-split.hr;NA;NA
Centar za odgoj i obrazovanje JURAJ BONAČI;Osnovna škola, Srednja škola;Matična škola;NA;17-126-535;0-0;Splitsko-dalmatinska;BRUNE BUŠIĆA 30;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Čotić;021530663;021535347;centar.juraj.bonaci@gmail.com;https://centar-juraj-bonaci.hr/;NA
Centar za odgoj i obrazovanje SLAVA RAŠKAJ;Osnovna škola, Srednja škola;Matična škola;NA;17-126-536;0-0;Splitsko-dalmatinska;RADNIČKA 2;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Čulo;021 541 660;NA;slava.raskaj@st.t-com.hr;http://www.centarslavaraskaj.hr/;NA
Osnovna škola Kralja Zvonimira;Osnovna škola;Matična škola;NA;17-382-001;0-0;Splitsko-dalmatinska;Hrvatskih žrtava 92;21218  Seget Donji; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dominik  Matković;021/880-510 , 021/880-522;021/880-235;dominik.matkovic2@skole.hr , ured@os-kralja-zvonimira-st.skole.hr;NA;  Osnovna škola Kralja Zvonimira - Područna škola Ljubitovica   , Ljubitovica bb, 21201 Ljubitovica
"OSNOVNA ŠKOLA ""Strožanac""";Osnovna škola;Matična škola;NA;17-443-001;0-0;Splitsko-dalmatinska;BLATO 1;21312  Strožanac - Podstrana; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Žana  Prižmić;021 333298 , 021/333-298 , 021/333-966;021/334281;ured@os-strozanac-podstrana.skole.hr;NA;NA
Osnovna škola BOL;Osnovna škola;Matična škola;NA;17-444-001;0-0;Splitsko-dalmatinska;RUDINA 1;21420  Bol; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Bartul  Bakulić;021/635-103;021/635-103;ured@os-bol.skole.hr;www.os-bol.skole.hr;NA
Osnovna škola PUČIŠĆA;Osnovna škola;Matična škola;NA;17-445-001;0-0;Splitsko-dalmatinska;Trg Hrvatskog skupa 11;21412  Pučišća; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Siniša  Lučić Lavčević;021/633-105;NA;ured@os-pucisca.skole.hr , os-pucisca@st.t-com.hr;NA;  Osnovna škola PUČIŠĆA - Područna škola Gornji Humac   , GORNJI HUMAC 133, 21424 Gornji Humac ,   Osnovna škola PUČIŠĆA - Područna škola Pražnica   , PRAŽNICA 32, 21424 Pražnica
Osnovna škola Vladimira Nazora;Osnovna škola;Matična škola;NA;17-446-001;0-0;Splitsko-dalmatinska;Podježice;21410  Postira; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Nejašmić;021/632-106 , 021/717080;NA;ravnatelj@nazor-postira.hr , tajnica@nazor-postira.hr;http://www.os-vnazora-postira.skole.hr/;NA
Osnovna škola SELCA;Osnovna škola;Matična škola;NA;17-447-001;0-0;Splitsko-dalmatinska;ŠETALIŠTE RAJKA ŠTAMBUKA 2;21425  Selca; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivica  Škrpaca;021/622-055 , 021/622-055 , 021/622-055;021/622-706;os-selca@st.t-com.hr;NA;  Osnovna škola SELCA - Područna škola Sumartin   , SUMARTIN, 21426 Sumartin
Osnovna škola Kneza Branimira;Osnovna škola;Matična škola;NA;17-448-001;0-0;Splitsko-dalmatinska;Donji Muć 218;21203  Donji Muć; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Lidija  Zekan;021/652-114 , 021/660-207;021/652-114;ured@os-kneza-branimira-donjimuc.skole.hr;http://os-kneza-branimira-donjimuc.skole.hr/;  Osnovna škola Kneza Branimira - Područna škola Brštanovo   , Put Gradine 12., 21202 Brštanovo ,   Osnovna škola Kneza Branimira - Područna škola Gornji Muć   , GORNJI MUĆ, Bebići 2., 21203 Gornji Muć
Osnovna škola Neorić-Sutina;Osnovna škola;Matična škola;NA;17-448-002;0-0;Splitsko-dalmatinska;NEORIĆ 43;21247  Neorić; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nada  Dundović;021/666-108 , 021/660-205 , 021/660-206;NA; neoric@os-neoric-sutina.skole.hr; www.os-neoric-sutina.skole.hr;NA
Osnovna škola BRAĆE RADIĆA;Osnovna škola;Matična škola;NA;17-448-003;0-0;Splitsko-dalmatinska;Vrba I 11;21203  Bračević; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ines  Sedlar Kolar;021/810-174;021/810-174;ured@os-brace-radica-bracevic.skole.hr;NA;  Osnovna škola BRAĆE RADIĆA - Područna škola Crivac   , Gornje polje 9, Crivac, 21229 Crivac ,   Osnovna škola BRAĆE RADIĆA - Područna škola Ogorje Donje   , Kroz Donje Ogorje 39, 21206 Donje Ogorje, 21206 Donje Ogorje
OSNOVNA ŠKOLA JESENICE;Osnovna škola;Matična škola;NA;17-449-001;0-0;Splitsko-dalmatinska;ĐAČKI PUT 10;21315  Dugi Rat; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Iva  Petričević;021/734-625 , 021/735-095;021/734-625;ured@os-jesenice-dugirat.skole.hr;NA;NA
OSNOVNA ŠKOLA GROHOTE;Osnovna škola;Matična škola;NA;17-450-001;0-0;Splitsko-dalmatinska;Podkuća 28;21430  Grohote; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirela  Mijić;021/654-112 , 021/717-037;021/717-037;ured@os-grohote-solta.skole.hr;http://os-grohote-solta.skole.hr;NA
OSNOVNA ŠKOLA DINKA ŠIMUNOVIĆA;Osnovna škola;Matična škola;NA;17-451-001;0-0;Splitsko-dalmatinska;HRVACE 225;21233  Hrvace; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zorka  Buljac;021/829-002 , 021/829-002;021/829-002;ossimunovic@skolahrvace.hr;NA;  OSNOVNA ŠKOLA DINKA ŠIMUNOVIĆA - Područna škola Bitelić   , Donji Bitelić 237, 21233 Hrvace ,   OSNOVNA ŠKOLA DINKA ŠIMUNOVIĆA - Područna škola Potravlje   , POTRAVLJE 101, 21233 Potravlje
Osnovna škola TIN UJEVIĆ;Osnovna škola;Matična škola;NA;17-452-001;0-0;Splitsko-dalmatinska;Ivana Pavla II. 16;21263  Krivodol; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marijo  Karin;021 635 038 , 021/670-177;021/670177;ured@os-tujevic-krivodol.skole.hr ;NA;  Osnovna škola TIN UJEVIĆ - Područna škola Grubine   , UlicaTina Ujevića 1, 21262 Grubine ,   Osnovna škola TIN UJEVIĆ - Područna škola Ivanbegovina   , Ivanbegovina, Ivanbegovina 16, 21262 Kamenmost ,   Osnovna škola TIN UJEVIĆ - Područna škola Poljica   , Poljica, Ulica hrvatskih branitelja 107, 21263 Krivodol
Osnovna škola Ivana Gorana Kovačića;Osnovna škola;Matična škola;NA;17-453-001;0-0;Splitsko-dalmatinska;Cesta Dr.Franje Tuđmana 60 21244 CISTA VELIKA;21244  Cista Velika; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Pleić;021/726-155 , 021/670-093;021/726-155;ured@os-igkovacica-cistavelika.skole.hr;www.os-igkovacica-cistavelika.skole.hr;  Osnovna škola I.G. Kovačića - Područna škola Cista Provo   , SVETOGA PETRA 3    , 21256 Cista Provo
Osnovna škola Josipa Jovića;Osnovna škola;Matična škola;NA;17-453-002;0-0;Splitsko-dalmatinska;Ulica Petra Žaje 2;21246  Aržano; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Frano  Bilić-Prcić;021724008 , 021/724-008;021/724-008;ured@os-jjovica.skole.hr;http://os-jjovica.skole.hr;  Osnovna škola Josipa Jovića - Područna škola Svib   , Ulica svetog Ante 2, 21256 Svib
OSNOVNA ŠKOLA SILVIJA STRAHIMIRA KRANJČEVIĆA LOVREĆ;Osnovna škola;Matična škola;NA;17-454-001;0-0;Splitsko-dalmatinska;DR. MATE ŠIMUNDIĆA 10;21257  Lovreć; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ante  Livajić;"021/723-089 , 021/723-303; 0981893087";021/723-089;marica.luetic@skole.hr , lovrec@os-sskranjcevica-lovrec.skole.hr;NA;NA
Osnovna škola STUDENCI;Osnovna škola;Matična škola;NA;17-454-002;0-0;Splitsko-dalmatinska;Put škole 15.;21265  Studenci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ante  Češljar;021/670-178 , 021/725-488;021/670-178;studenci@os-studenci.skole.hr;http://os-studenci.skole.hr;NA
OSNOVNA ŠKOLA IVAN LEKO;Osnovna škola;Matična škola;NA;17-455-001;0-0;Splitsko-dalmatinska;Trg Franje Tuđmana 6;21264  Donji Proložac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Krešimir  Bajić;021/846-081 , 021/670-180;021/846-081;prolozac@os-ileko-prolozac.skole.hr;http://os-ileko-prolozac.skole.hr/;  OSNOVNA ŠKOLA IVAN LEKO - Područna škola Dolića Draga   , DOLIĆA DRAGA, 21263 Dolića Draga ,   OSNOVNA ŠKOLA IVAN LEKO - Područna škola Meter   , Josipa Jovića 102, 21264 Donji Proložac ,   OSNOVNA ŠKOLA IVAN LEKO - Područna škola Ričice   , RIČICE, 21267 Ričice
OSNOVNA ŠKOLA RUNOVIĆ;Osnovna škola;Matična škola;NA;17-456-002;0-0;Splitsko-dalmatinska;Runović 211;21261  Runović; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marija  Biočić;021/849-088 , 021/670-597/ mob.0989155939;021/849-088;os-runovic@st.t-com.hr , skola@os-runovic.skole.hr;NA;  OSNOVNA ŠKOLA RUNOVIĆ - Područna škola Sebišina   , SEBIŠINA, 21261 Runović
Osnovna škola JELSA;Osnovna škola;Matična škola;NA;17-457-001;0-0;Splitsko-dalmatinska;Jelsa 161;21465  Jelsa; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ana  Miljak;021/761-030 , 021/761-030;021/717-172;osjelsa@osjelsa.tcloud.hr , ured@os-jelsa.skole.hr;NA;  Osnovna škola JELSA - Područna škola Sveta Nedjelja   , SVETA NEDJELJA, 21465 Sveta Nedjelja ,   Osnovna škola JELSA - Područna škola Svirče   , SVIRČE, 21462 Svirče ,   Osnovna škola JELSA - Područna škola Vrboska   , VRBOSKA, 21463 Vrboska ,   Osnovna škola JELSA - Područna škola Zastražišće   , ZASTRAŽIŠĆE, 21466 Zastražišće
Osnovna škola ANTE ANĐELINOVIĆ;Osnovna škola;Matična škola;NA;17-458-001;0-0;Splitsko-dalmatinska;Trg Park 5;21469  Sućuraj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tina  Mihaljević;021 773 322;021 773 322;ured@os-aandjelinovic-sucuraj.skole.hr;NA;  Osnovna škola ANTE ANĐELINOVIĆ - Područna škola Bogomolje   , Bogomolje bb, 21468 Bogomolje
Osnovna škola Primorski Dolac;Osnovna škola;Matična škola;NA;17-459-003;0-0;Splitsko-dalmatinska;Vržine 185;21227  Primorski Dolac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mila  Mišković;021/899-129;021/899-129;ured@os-primorski-dolac.skole.hr;os-primorski-dolac.skole.hr;NA
Osnovna škola don Mihovila Pavlinovića;Osnovna škola;Matična škola;NA;17-460-001;0-0;Splitsko-dalmatinska;PRILAZ VIDA MIHOTIĆA 1;21327  Podgora; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jakov  Batinović;021/603-941 , 021/625-393 , 021/603-940;NA;os-podgora@os-mpavlinovica-podgora.skole.hr;http://os-mpavlinovica-podgora.skole.hr/;  Osnovna škola don Mihovila Pavlinovića - Područna škola Živogošće   , ŽIVOGOŠĆE, PORAT 87, 21329 Živogošće ,   Osnovna škola don Mihovila Pavlinovića - Područna škola Drašnice   , DRAŠNICE, Drašnice 127, 21328 Drašnice ,   Osnovna škola don Mihovila Pavlinovića - Područna škola Igrane   , Igrane 153, 21329 Igrane
Osnovna škola GRADAC;Osnovna škola;Matična škola;NA;17-461-001;0-0;Splitsko-dalmatinska;Ulica kralja Tomislava 2;21330  Gradac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Antonio  Porobija;021/697-553, 021/697-700 , 021/678-295;021/697-700;ured@os-gradac.skole.hr;NA;  Osnovna škola GRADAC - Područna škola Brist   , BRIST, SLAKOVAC 9, 21335 Brist ,   Osnovna škola GRADAC - Područna škola Drvenik   , DONJA VALA, 21333 Drvenik
Osnovna škola dr. Franje Tuđmana Brela;Osnovna škola;Matična škola;NA;17-462-001;0-0;Splitsko-dalmatinska;Svetog Jurja 1;21322  Brela; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivana  Ravlić;021/678-291 , 021/618-482 , 021/618-808;021/618-482;ured@os-drftudjmana-brela.skole.hr;www.os-drftudjmana-brela.skole.hr;NA
OSNOVNA ŠKOLA BARIŠE GRANIĆA MEŠTRA;Osnovna škola;Matična škola;NA;17-463-001;0-0;Splitsko-dalmatinska;PODSPILINE 2;21320  Baška Voda; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ružica  Radalj;021/620-744 , 021/620-169;021/620-744;ured@os-bgmestra-baskavoda.skole.hr;NA;NA
OSNOVNA ŠKOLA IVAN DUKNOVIĆ;Osnovna škola;Matična škola;NA;17-464-001;0-0;Splitsko-dalmatinska;DON FRANE MACANOVIĆA 1;21222  Marina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirko  Matijaš;021/798-120 , 021/798-120 , 021/796-212;021/798-125;ured@os-iduknovic-marina.skole.hr;NA;  OSNOVNA ŠKOLA IVAN DUKNOVIĆ - Područna škola Blizna   , BLIZNA DONJA, MAMUTI BB, 21228 Blizna Donja ,   OSNOVNA ŠKOLA IVAN DUKNOVIĆ - Područna škola Gustirna   , GUSTIRNA, 21222 Gustirna ,   OSNOVNA ŠKOLA IVAN DUKNOVIĆ - Područna škola Sevid   , SEVID, 21222 Sevid ,   OSNOVNA ŠKOLA IVAN DUKNOVIĆ - Područna škola Vinišće   , VINIŠĆE, 21226 Vinišće ,   OSNOVNA ŠKOLA IVAN DUKNOVIĆ - Područna škola Vrsine   , VRSINE, 21222 Vrsine
Osnovna škola KAMEŠNICA;Osnovna škola;Matična škola;NA;17-465-001;0-0;Splitsko-dalmatinska;Hrvatskih branitelja 26;21238  Otok; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Miroslav  Jukić;021/834-417 , 021/834-417 , 021/835-084;021/835-084;miroslav.jukic@skole.hr , ured@os-kamesnica-otok.skole.hr;www.skola-kamesnica.hr;  Osnovna škola KAMEŠNICA - Područna škola Ruda   , Ruda, 21242 Ruda ,   Osnovna škola KAMEŠNICA - Područna škola Udovičići   , Udovičići, 21242 Udovičić
OSNOVNA ŠKOLA IVANA MAŽURANIĆA;Osnovna škola;Matična škola;NA;17-465-002;0-0;Splitsko-dalmatinska;Obrovac Sinjski 242/C;21241  Obrovac Sinjski; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tomislav  Budimir;021/839-700  , 098810580;021/839-016 ;os-han@os-imazuranica-obrovacsinjski.skole.hr;www.osim.hr;  OSNOVNA ŠKOLA IVANA MAŽURANIĆA - Područna škola Bajagić   , BAJAGIĆ 120, 21241 Bajagić ,   OSNOVNA ŠKOLA IVANA MAŽURANIĆA - Područna škola Gala   , GALA 109/a, 21241 Gala ,   OSNOVNA ŠKOLA IVANA MAŽURANIĆA - Područna škola Gljev   , GLJEV 77/b, 21241 Gljev
Osnovna škola Ante Starčevića;Osnovna škola;Matična škola;NA;17-466-001;0-0;Splitsko-dalmatinska;Kraj ;21232  Dicmo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dajana  Maretić;021/837-300 , 021/837-300;NA;os-dicmo@os-astarcevica.skole.hr;NA;  Osnovna škola Ante Starčevića - Područna škola Krušvar   , KRUŠVAR, 21232 Krušvar
Osnovna škola Petra Kružića Klis;Osnovna škola;Matična škola;NA;17-467-001;0-0;Splitsko-dalmatinska;Put svetog Ante 30;21231  Klis; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Neven  Tešija;021/240-006 , 021/240-740;021/240-740;neven.tesija@skole.hr , os-petra-kruzica@st.t-com.hr , ured@os-pkruzica-klis.skole.hr;os-pkruzica-klis.skole.hr;  Osnovna škola Petra Kružića Klis - Područna škola Klis-Kosa   , Kosa Barići12, 21231 Klis ,   Osnovna škola Petra Kružića Klis - Područna škola Konjsko   , Put Vukovića 2, 21231 Konjsko ,   Osnovna škola Petra Kružića Klis - Područna škola Prugovo   , Ivana Pavla II 102, 21231 Prugovo
Osnovna škola DUGOPOLJE;Osnovna škola;Matična škola;NA;17-467-002;0-0;Splitsko-dalmatinska;Stepinčeva 4;21204  Dugopolje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željko  Šparmajer;655 102 , 021/655-102;021/655-102;dugopolje@os-dugopolje.skole.hr;NA;  Osnovna škola DUGOPOLJE - Područna škola Kotlenice   , KOTLENICE, 21204 Kotlenice
Osnovna škola Supetar;Osnovna škola;Matična škola;NA;17-468-001;0-0;Splitsko-dalmatinska;PORAT 25;21400  Supetar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dubravka  Menjak;021/757-137 , 021/631-135 , 021/631-135 , 021/757-591 , 021/630650;075801838;pedagog@os-supetar.skole.hr  , psiholog@os-supetar.skole.hr , defektolog@os-supetar.skole.hr , knjiznica@os-supetar.skole.hr , ured@os-supetar.skole.hr , os-supetar@os-supetar.skole.hr;http://os-supetar.skole.hr/;  Osnovna škola Supetar - Područna škola Nerežišća   , PJACA 1, 21423 Nerežišća ,   Osnovna škola Supetar - Područna škola Sutivan   , KALA O KONGULI 2, 21403 Sutivan
Osnovna škola MILNA;Osnovna škola;Matična škola;NA;17-469-001;0-0;Splitsko-dalmatinska;Žalo 15;21405  Milna; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Antonela  Cecić Vidoš;021/717-463;021/636-203;tajnistvo@os-milna.skole.hr;1;NA
Osnovna škola PETRA HEKTOROVIĆA Stari Grad;Osnovna škola;Matična škola;NA;17-470-001;0-0;Splitsko-dalmatinska;OBALA DR FRANJE TUĐMANA 1.;21460  Stari Grad; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jasminka  Pakušić;021/765-069 , 021/765-069;NA;skola@os-phektorovica-starigrad.skole.hr;NA;  Osnovna škola PETRA HEKTOROVIĆA Stari Grad - Područna škola Dol   , DOL, 21460 Dol ,   Osnovna škola PETRA HEKTOROVIĆA Stari Grad - Područna škola Vrbanj   , VRBANJ, 21462 Vrbanj
OSNOVNA ŠKOLA DR. FRA KARLO BALIĆ;Osnovna škola;Matična škola;NA;17-471-001;0-0;Splitsko-dalmatinska;Dr. FRANJE TUĐMANA 40;21250  Šestanovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nada  Utrobičić;021/721-174 , 021/757-272;021/757-271;tajnistvo@os-sestanovac.hr , ured@os-kbalic-sestanovac.skole.hr , ravnatelj@os-sestanovac.hr;NA;  OSNOVNA ŠKOLA DR. FRA KARLO BALIĆ - Područna škola Blato na Cetini   , Blato na Cetini, 21254 Blato na Cetini
Osnovna škola Trilj;Osnovna škola;Matična škola;NA;17-473-001;0-0;Splitsko-dalmatinska;POLJIČKE REPUBLIKE 18;21240  Trilj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Davor  Hrgović;021/660 717 , 021/ 660 085 , 021/660 718 , 021/832 612 , 021/831 014 , 021/660 084;021/831 917;ravnatelj@os-trilj.skole.hr;http://www.os-trilj.skole.hr;  Osnovna škola Trilj - Područna škola Bisko   , Bisko 40A, 21240 Trilj ,   Osnovna škola Trilj - Područna škola Grab   , Grab 100A, 21240 Trilj ,   Osnovna škola Trilj - Područna škola Košute   , Vukovarska 35, 21240 Košute ,   Osnovna škola Trilj - Područna škola Ugljane   , Ugljane 2, 21240 Trilj ,   Osnovna škola Trilj - Područna škola Velić   , Velić 55, 21240 Trilj ,   Osnovna škola Trilj - Područna škola Vojnić   , Vojnić Sinjski 160D, 21240 Trilj ,   Osnovna škola Trilj - Područna škola Čaporice   , Čaporice 34, 21240 Trilj
OSNOVNA ŠKOLA MILANA BEGOVIĆA;Osnovna škola;Matična škola;NA;17-474-001;0-0;Splitsko-dalmatinska;Trg dr. Franje Tuđmana 6;21236  Vrlika; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirjana  Vodanović Mandarić;021/827-259;NA;ured@os-mbegovica-vrlika.skole.hr;http://www.os-mbegovica-vrlika.skole.hr/;NA
Osnovna škola Komiža;Osnovna škola;Matična škola;NA;17-475-001;0-0;Splitsko-dalmatinska;ŠKOLSKA 11;21485  Komiža; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Melita  Mardešić;021/713-146 , 021/717-180;021/713-146;ured@os-komiza.skole.hr;www.os-komiza.skole.hr;NA
Osnovna škola Zagvozd;Osnovna škola;Matična škola;NA;17-477-001;0-0;Splitsko-dalmatinska;Trg zabiokovskih junaka Domovinskog rata 4;21270  Zagvozd; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tonći  Vuksan;021/847-015 , 021/847-015;021/847-015;ravnatelj@os-zagvozd.skole.hr;http://os-zagvozd.skole.hr/;  Osnovna škola Zagvozd - Područna škola Dobrinče   , DOBRINČE 42A, 21263 Dobrinče ,   Osnovna škola Zagvozd - Područna škola Slivno   , SLIVNO 310, 21272 Slivno
OSNOVNA ŠKOLA ZMIJAVCI;Osnovna škola;Matična škola;NA;17-528-001;0-0;Splitsko-dalmatinska;Dr. Franje Tuđmana 189;21266  Zmijavci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Jonjić;021/840-163 , 021/840-670;021/840-670;os-zmijavci@skole.hr , ured@os-zmijavci.skole.hr;www.os-zmijavci.skole.hr;  OSNOVNA ŠKOLA ZMIJAVCI - Područna škola Drum   , Domovinskog rata 35, 21262 Drum ,   OSNOVNA ŠKOLA ZMIJAVCI - Područna škola Milana Trutina Šilje   , Trg hrvatskog viteza Milana Trutina Šilje 1, 21262 Podbablje Gornje ,   OSNOVNA ŠKOLA ZMIJAVCI - Područna škola Znaori   , Tina Ujevića 1, 21262 Hršćevani ,   OSNOVNA ŠKOLA ZMIJAVCI - Područna škola Šute   , Hrvatske bratske zajednice 64, 21266 Zmijavci
Osnovna škola Okruk u Okrugu Gornjem;Osnovna škola;Matična škola;NA;17-588-001;0-0;Splitsko-dalmatinska;Put mavarčice 24b;21223  Okrug Gornji; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Bruna  Dadić;021/252-431;NA;ured@os-okruk-og.skole.hr;NA;NA
Osnovna škola Tučepi;Osnovna škola;Matična škola;NA;17-593-001;0-0;Splitsko-dalmatinska;Kraj 17;21325  Tučepi; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Damir  Jukić;021/623-150 , 021/623-150 , 021/678-315;021/623-150;os-tucepi@os-tucepi.skole.hr;NA;NA
Osnovna škola - Scuola elementare Mate Balote Buje - Buie;Osnovna škola;Matična škola;NA;18-006-001;0-0;Istarska;ŠKOLSKI BRIJEG 2;52460  Buje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dražen  Hinek;052/772-138 , 052/772-138 , 052/772-138 , 052/772-009;052/772-138;ured@os-mbalote-buje.skole.hr;os-mbalote-buje.skole.hr;  Osnovna škola - Scuola elementare Mate Balote Buje - Buie - Područna škola Brtonigla   , ULICA DUDOVA 24, 52474 Brtonigla ,   Osnovna škola - Scuola elementare Mate Balote Buje - Buie - Područna škola Kaštel   , KAŠTEL 120, 52460 Kaštel
"Talijanska osnovna škola Scuola elementare italiana ""Edmondo De Amicis"" Buje Buie";Osnovna škola;Matična škola;NA;18-006-002;0-0;Istarska;ŠKOLSKI BRIJEG 3;52460  Buje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Katia  Šterle;052/772-061 , 052/772-061 , 052/772-061;052/772-082;ured@os-talijanska-buje.skole.hr;http://os-talijanska-buje.skole.hr/;"  Talijanska osnovna škola, Scuola elementare italiana ""Edmondo De Amicis"" - Područna škola Brtonigla   , DUDOVA 24, 52474 Brtonigla ,   Talijanska osnovna škola, Scuola elementare italiana ""Edmondo De Amicis"" - Područna škola Momjan   , GORNJA VAS 2, 52462 Momjan"
