naziv;osnivac;zupanija;adresa;mjesto;telefon;e_mail;podrucni_objekti
Gradska knjižnica i čitaonica Virovitica;Grad Virovitica;Virovitičko-podravska županija ;Trg bana Josipa Jelačića 5;Virovitica;098 988 5503;racunovodstvo@knjiznicavirovitica.hr;NA
Centar za odgoj, obrazovanje i rehabilitaciju Virovitica;GRAD VIROVITICA;Virovitičko-podravska županija ;Nikole Tesle 4;Virovitica;033721854;tajnistvo@coorvirovitica.hr;NA
"DV ""Vis""";Grad Vis;Splitsko-dalmatinska županija ;Viškog boja 11;Vis;021/711-049;djvrticvis@gmail.com;NA
Program predškole pri OŠ Visoko;Narodni odbor Općine Novi Marof ;Varaždinska županija ;Visoko 20;Visoko;042/628-113 (ravnateljica);skola@os-visoko.skole.hr;NA
"Dječji vrtić ""Maza""";Zvjezdana Balen-Vuglač , Zvjezdana Balen Vuglač;Primorsko-goranska županija ;Marinići 80 B;Viškovo;"099/3 683 185;  091/500 30 41";maza.vrtic@gmail.com;" PO ""Maza-Klana"", Zatrep 6, 51217 Klana"
"DV ""Malik""";Koljka Širola i Ankica Širola;Primorsko-goranska županija ;Široli 1;Viškovo;051/258-625;djecji.vrtic.malik@ri.t-com.hr;NA
Dječji vrtić Zvončica;Ljilja Ivkić;Primorsko-goranska županija ;Marinići 144;Viškovo;051/504-131;dvzvoncica@gmail.com;NA
"DV ""Viškovo""";Općina Viškovo;Primorsko-goranska županija ;Vozišće 19 d;Viškovo;051/256-844;vrtic-viskovo@vrtic-viskovo.hr; PO Marčelji , Marčelji 91,  
"Dječji vrtić ""Višnjan""";Općina Višnjan i Višnjanska razvojna agencija VIRA d.o.o.;Istarska županija ;Jože Šurana 2/a;Višnjan;"052 556521; 091 449 0005";v.mladinov@visnjan.hr;NA
"Dječji vrtić ""Jelenko"" Voćin";Općina Voćin;Virovitičko-podravska županija ;Trg Gospe Voćinske 2;Voćin;033565189;djecji.vrtic.jelenko@vt.t-com.hr; PO Ćeralije, Branka Radičevića 2,  
Dječji vrtić Tamaris Vodice;Grad Vodice;Šibensko-kninska županija ;Fra Pija Fržopa 2;Vodice;022/444-571;ravnateljicatina@dvtamaris.hr;" PO Čista Velika, Čista Velika l/23, 22214 Čista Velika ,  PO ""Vodice"", Ulica Pavla Šubića 9,  "
"Dječji vrtići ""Petar Pan"" Vodnjan - Scuole dell'infanzia ""Petar Pan"" Dignano";Grad Vodnjan;Istarska županija ;San Rocco 17;Vodnjan;052/511-364;djecji.vrtici.petar.pan.vodnjan@pu.t-com.hr; PO Galižana, Veli Vrh 5, 52216 Galižana ,  PO Peroj, Peroj 218, 52215 Peroj
"Dječji vrtić ""Mladost""";Općina Vođinci;Vukovarsko-srijemska  županija ;Braće Radića 63;Vođinci;032/540-103;dv.mladost@gmail.com;NA
"Dječji vrtić ""Vojnić""";Općina Vojnić;Karlovačka županija ;Trg Ante Starčevića 4;Vojnić;047883074;djecji.vrtic.vojnic@ka.t-com.hr;NA
"Dječji vrtić ""Srčeko""";Isabela Lisjak, Claudia Baumgartner , Isabela Lisjak, Claudia Baumgartner;Međimurska županija ;Dr. V.Žganca 1;Vratišinec;040 866 270;lisjak.isabela@gmail.com;NA
Program predškole pri OŠ Mara Švel - Gamiršek;Općina Vrbanja;Vukovarsko-srijemska  županija ;Matije Gupca 23;Vrbanja;032/864-993;ured@os-msgamirsek-vrbanja.skole.hr;NA
"Dječji vrtić ""Vrbovec""";Grad Vrbovec;Zagrebačka županija ;7. svibnja 12a;Vrbovec;2791-349;ravnatelj.dvvrbovec@gmail.com; PŠ Preseka, 7.SVIBNJA 12 A, 10340 VRBOVEC ,  PŠ Rakovec, 7. svibnja 12 a, 10340 Vrbovec ,  PŠ Lonjica, VRBOVEC, 10340 Vrbovec ,  Općina Farkaševac, 7.svibnja 12 a, 10340 Vrbovec ,  PO Augusta Šenoe 11, Augusta Šenoe 11,   ,  PO Vjeroučiteljska dvorana, Ulica poginulih branitelja b.b.,   ,  PO Piennesa, Ulica Eugena de Piennesa 14f,  
"DV ""Bambi"", Vrbovsko";Grad Vrbovsko , GRAD VRBOVSKO;Primorsko-goranska županija ;Kralja  Tomislava 18A;Vrbovsko;051/875-014;bambivrbovsko@net.hr; PO Moravice, Školska 1, 51325 Moravice
Program predškolskog odgoja pri OŠ GVOZD;Općina Gvozd;Sisačko-moslavačka županija ;Ul. kralja Petra Sva;Vrginmost;044/525-190;os-gvozd@os-gvozd.skole.hr;NA
"Dječji vrtić ""Pčelica""";Grad Vrgorac;Splitsko-dalmatinska županija ;Matice hrvatske 13;Vrgorac;021/674-228;pcelica5555@gmail.com; PO Dusina, Dusina 50A,  
Dječji vrtić Vrhovine;Općina Vrhovine;Ličko-senjska županija ;Senjska 60;Vrhovine;053/333-345; info-vrtic@vrhovine.hr;NA
"Dječji vrtić ""Zvončić""";Grad Vrlika ;Splitsko-dalmatinska županija ;Trg dr. Franje Tuđma;Vrlika;021/827-022;vrtic.zvoncic@gmail.com;NA
"Dječji vrtić ""Tići""";Općina Vrsar-Orsera;Istarska županija ;Aldo Negri 46;Vrsar;052 441 506;ravnatelj@vrtic-tici-vrsar.hr; PO Funtana, ,  
"DV ""Vrška vila""";Općina Vrsi , ;Zadarska županija ;dr. Franje Tuđmana 6;Vrsi;023/ 360-904;vrska.vila@gmail.com;NA
Kraći program rada - igraonica pri udruzi Društvu Naša djeca;Hrvatska mljekarska udruga , ;Vukovarsko-srijemska  županija ;Alojzija Stepinca 48;Vukovar;032/442-202;drustvo-nasa-djeca@vk.t-com.hr;NA
"Dječji vrtić ""Vukovar I.""";Grad Vukovar;Vukovarsko-srijemska  županija ;E. Kvaternika 27;Vukovar;032/414-709;tajnistvo@djecjivrticvukovar1.hr ; PO Mitnica, Hermana Gmeinera bb, 32000 Vukovar ,  PO Leptirić, Kralja Zvonimira bb, 32010 Vukovar ,  PO Sotin, Hrvatske nezavisnosti 22, 32232 Sotin ,  PO Vukovar Novi, Županijska 15, 32000 Vukovar ,  PO Bogdanovci, Bana Josipa Jelačića 1, 32000 Bogdanovci
"Dječji vrtić ""Vukovar II""";Grad Vukovar;Vukovarsko-srijemska  županija ;Alojzija Stepinca 46;Vukovar;032/441-288, 032/441-608;ravnateljica@dv-vukovar2.hr; PO Borovo, Kralja Zvonimira bb, 32010 Vukovar
"Interkulturna osnovna škola ""Dunav""";NA;Vukovarsko-srijemska  županija ;Blage Zadre 3;Vukovar;098/346 706;dunav.vukovar@gmail.com;NA
"Udruga ""Lingapanga""";Berislav Božanović;Vukovarsko-srijemska  županija ;Stanka Vraza 10;Vukovar;032/414-911;linguapax@vk.htnet.hr;NA
Dječji vrtić Zipkica;Grad Zabok , Grad Zabok;Krapinsko-zagorska županija ;Stjepana Radića 15;Zabok;049/221-599;dv-zipkica@kr.t-com.hr;NA
"Dječji vrtić ""Kockica""";Davorka Alavanja , Davorka Alavanja;Zadarska županija ;Ulica admirala Jakova Šubića de Cesana 25J;Zadar;023/647 277;dv.kockica@gmail.com;NA
"DV ""Snupi""";Tatjana Radović-Bakić , Tatjana Radović Bakić;Zadarska županija ;Nikole Tesle 56;Zadar;0917900967;tatjana-snupi@windowslive.com; PO Linus, Ulica Šime Starčevića 1/a,  
"DV ""Petar Pan""";Emanuela Mandić , Marija Vujević;Zadarska županija ;Put Tikulina 2;Zadar;095/986-0317   095/196-6713;dj.v.petarpanzadar@gmail.com;NA
"DV ""Vrapčić""";Danijela Riđić , Danijela Riđić;Zadarska županija ;Ulica Gospe Maslinske 30;Zadar;095 9114721; vrapcic.zd@gmail.com;NA
"Dječji vrtić ""More""";Tajana Barešić;Zadarska županija ;Biogradska 5;Zadar;091 797 1234;baresict@gmail.com;NA
"Dječji vrtić ""Klokan""";Nikolina Veleslavić , Nikolina Veleslaić;Zadarska županija ;Ulica admirala Šubića de Cesana 33;Zadar;023 394 196;dvklokan@yahoo.com;NA
"Dječji vrtić ""Školjkica""";Stipe Brčić;Zadarska županija ;Marijane Radev 2;Zadar;091 457 88 73;"skoljkica@dv-skoljkica.hr; skoljkicaimore@dv-skoljkica-more.hr";NA
"Dječji vrtić ""Ribica""";Nataša Pulišić;Zadarska županija ;Ive Senjanina 14 a ;Zadar;023/311-844;dvribica@yahoo.com;NA
"Dječji vrtić ""Kocka kockica""";Vedrana Jerkić Perić;Zadarska županija ;Mate Balote 50;Zadar;023/335-220;vedranajerkicperic@gmail.com; PO Nikole Tesle, Nikole Tesle 44 , 23000 Zadar
"Dječji vrtić ""Bambi""";Dorian Perović ;Zadarska županija ;Trg Gospe Loretske 1;Zadar;023/316-262;vrticbambi@gmail.com; PO Lupko, Trg gospe Loretske 5, 23000 Zadar
"Dječji vrtić ""Pinokio""";Ivančica Vukić Smolić, 098/979 86 53;Zadarska županija ;Put Dikla 33;Zadar;023/333-566;vukic.ivancica.dvpinokio@gmail.com;NA
"Dječji vrtić ""Žuto pače""";Dobrila Radeka;Zadarska županija ;Filipa Grabovca 15;Zadar;099/4334-222;zuto.pace@gmail.com;NA
"Dječji vrtić ""Čuperak""";Vesna Knežević;Zadarska županija ;Borelli 12;Zadar;0994350009;dvcuperak@gmail.com;NA
"Dječji vrtić ""Maslačak""";Sniježana Pavić;Zadarska županija ;Borka Šarlija - Kese 23;Zadar;023/327-587;vrticmaslacak@net.hr, upisi.dv.maslacak@gmail.com; PO Tratinčica, Hrvatskog sabora 14c, 23000 Zadar ,  PO Potočnica, Borka Šarlije-Kese 14, 23000 Zadar
"Dječji vrtić ""Smiješak""";Jadranka Miliša Stančin , Jadranka Miliša Stančin;Zadarska županija ;Rapska 24;Zadar;023/315-408   ;dv.smijesak.zd@gmail.com; PO Novigradska, Novigradska 46,  
"Dječji vrtić ""Latica""";Grad Zadar;Zadarska županija ;Ulica Asje Petričić 5D;Zadar;023630601;boravak@zd.t-com.hr;NA
"Dječji vrtić ""Radost""";Grad Zadar;Zadarska županija ;Bartola Kašića 3/1;Zadar;023/211-984;djecji.vrtic.radost@zd.htnet.hr; PO Vruljica, Ivana Meštrovića 14, 23000 Zadar ,  PO Voštanica, Put Murata 14, 23000 Zadar ,  PO Grigor Vitez, Đure Sudete 2, 23000 Zadar ,  PO Bili Brig, Rapska ulica 34, 23000 Zadar ,  PO Jadran, Aleksandra Paravije 2, 23000 Zadar ,  PO Galeb, Federica Grisogona 14, 23000 Zadar ,  PO Bokanjac, Davorina Trstenjaka 20, 23000 Zadar ,  PO Višnjik, ulica Domovinskog rata 5, 23000 Zadar ,  PO Višnjik II , Splitska ulica 38,  
"Dječji vrtić ""Sunce""";Grad Zadar;Zadarska županija ;Veslačka 1;Zadar;023/236-410  mob.099/216-8786;djecji.vrtic.sunce@zd.t-com.hr; PO Jazine, Obala kneza Branimira 4h, 23000 Zadar ,  PO Duga, Ante Starčevića bb, 23000 Zadar ,  PO Maslačak, Ante Starčevića 23F, 23000 Zadar ,  PO Vladimir Nazor, Nadb. Vicka Zmajevića 12, 23000 Zadar ,  PO Ričine, Josipa Jovića 1, 23000 Zadar ,  PO Tratinčica, Crno 145, 23000 Zadar ,  PO Smiljevac, Ivana Lucića 18, 23000 Zadar ,  PO Kožino, Ulica l. br. 5, 23231 Kožino
Dječji vrtić Školjkica i More;NA;Zadarska županija ;Marijane Radev 2;Zadar;091 4578874;skoljkicaimore@dv-skoljkica-more.hr;NA
"Dječji vrtić ""Val""";Ana Nikolić;Zadarska županija ;Ulica Joze Krstića 7;Zadar;098306687;djecji.vrtic.val@gmail.com;NA
"Dječji vrtić ""Šuškalica""";DV Šuškalica , SILVANA ČUBRIĆ;Zadarska županija ;Put Murvice 17;Zadar;023 242 039;silvanacubric@gmail.com;NA
"Talijanski dječji vrtić ""Pinocchio"" - Scuola italiana dell infanzia ""Pinocchio""";Zajednica Talijana Zadar;Zadarska županija ;Kornatski prilaz 9;Zadar;023 321956;pinocchiozara@gmail.com;NA
"Dječji vrtić ""GOLUBICA""";Benediktinke sv. Marije , Benediktinke sv. Marije;Zadarska županija ;Madijevaca 8;Zadar;0912626135;golubica.vrtic@gmail.com;NA
Program predškole pri OŠ Zadarski otoci-Zadar;Grad Zadar;Zadarska županija ;Trg Damira Tomljanovića Gavrana 2;Zadar;023/312-224;ured@os-zadarski-otoci-zd.skole.hr;NA
"Dječji vrtić ""Hlapić""";Lucija Kikić Maračić , Lucija Kikic Maracic;Zadarska županija ;Ulica Nikole Tesle 4;Zadar;0915155124 0994016914;kikic_13@net.hr;NA
Obrt za usluge MALA GLAZBENA ŠKOLICA - TON; , ;Krapinsko-zagorska županija ;Harina Zlaka 5;Zagorska Sela;098/169 75 03;ton.skolica@gmail.com;NA
Športska udruga HDL KAMELEON;NA;Grad Zagreb;Savska opatovina 123;Zagreb;098 489 384         ;hdl.kameleon@gmail.com;NA
Muški rukometni klub Metalac;NA;Grad Zagreb;Slovenska 20;Zagreb;099/3707875             ;info@rukometalac.com;NA
Sportsko rekreativno društvo Feniks sportaš;NA;Grad Zagreb;Nehajska ulica 67;Zagreb;099 66 88 666           ;goran.skoric666@gmail.com;NA
"Judo klub ""Lika""";UDRUGA;Grad Zagreb;Trg žrtava fašizma 3;Zagreb;01 6601148;judo.klub.lika@zg.t-com.hr;NA
"Udruga za sport i rekreaciju ""Balonko""";Igor Musulin;Grad Zagreb;Višnje Stahuljak 7;Zagreb;098/9625 329;balonko.sport@gmail.com;NA
"Društvo sportske rekreacije ""Pandice""";NA;Grad Zagreb;Božidara Magovca 47;Zagreb;01/8889856  Ludvik Leutar;info@sportskepandice.hr;NA
Kreativna udruga Boje zvuka;Marija Čikara, Mladen Čikara, Jurana Linarić Mihalić;Grad Zagreb;Fallerovo šetalište 35;Zagreb;091/798 04 79;marija.cikara@gmail.com;NA
"Tjelovježbeno društvo ""GIMGO""";NA;Grad Zagreb;Pavla Sokolića 17;Zagreb;091/518 3327;gimgokids@gmail.com;NA
TKD Invictus;Dejan Mesarov;Grad Zagreb;Belinin put 13;Zagreb;0981641729;invictus.zg@gmail.com;NA
Dječji vrtić Kreativni dani;IR CONSULTING d.o.o. , ;Grad Zagreb;II Cvjetno naselje 9;Zagreb;092/350 0083;info@kidsandco.eu;NA
"Društvo sportske rekreacije ""Od malih nogu""";Robert Kljajić;Grad Zagreb;Remetska cesta 7b;Zagreb;0994097799;info@odmalihnogu.hr;NA
GLAZBAONICA LJUBAV jdoo;Petra Gudelj;Grad Zagreb;Mogilska 28;Zagreb;095/8916124;info@glazbaonicaljubav.com;NA
Košarkaški klub Črnomerec;Goran Pačkovski , ;Grad Zagreb;Baruna Filipovića 16;Zagreb;091/4954034;info@kk-crnomerec.hr;NA
"Društvo sportske rekreacije ""Sport i igra""";Tamara Skala;Grad Zagreb;Nova Ves 11;Zagreb;098233083;tamara@educarena.com;NA
"PLESNI STUDIO ""SAMSAMI""";JASMINA ZAGRAJSKI VUKELIĆ;Grad Zagreb;Dalmatinska15;Zagreb;"01 4848 735 ; 098 205 153 ";samsa.zg@gmail.com;NA
SPORTSKO DRUŠTVO REKREACIJE ROLICA;SANJA BENKOVIĆ;Grad Zagreb;Dragutina Golika 34;Zagreb;0958136014;rolicasanja@gmail.com;NA
Društvo sportske rekreacije Svijet sporta;NA;Grad Zagreb;Jurja ves 38;Zagreb;095/9061-137;svijetsporta@svijetsporta.hr;NA
"Sportsko rekreativna udruga ""Sport za tebe""";Miroslav Horvat;Grad Zagreb;Kutinska 4;Zagreb;"098 160 8624 ; 091 1313 490  ";"outdoor@sport4you.hr ; mhorvat@skipper4you.com";NA
Ustanova Upravljanje sportskim objektima;NA;Grad Zagreb;Trg Krešimira Ćosića 11;Zagreb;01/6421-014;uso.marketing@sportskiobjekti.hr;NA
"Udruga ""SPORTSKA ŠKOLA DINAMO""";NA;Grad Zagreb;Slavka Batušića 29;Zagreb;0923781274, 0922354868;info@sportskaskoladinamo.hr;NA
TAEKWONDO KLUB  FENIKS-VUKOMEREC;NA;Grad Zagreb;SOBOLSKI PUT 2A;Zagreb;01/2946497, 0915671514;info@tkd-feniks.hr;NA
"Judo klub ""Zagrebačka judo škola""";Judo klub Zagrebačka judo škola;Grad Zagreb;Kuhačeva 5;Zagreb;0915647745;info@zagrebackajudoskola.com;NA
Klizačko-koturaljkaški klub Medveščak;grupa/udruga gradjana;Grad Zagreb;Schlosserove stube 2;Zagreb;0958136014;info@kkkmedvescak.hr;NA
Društvo športske rekreacije BUBA;NA;Grad Zagreb;Ulica Ivana Rendića 30;Zagreb;01/2305266;sandra.miletic@inet.hr;NA
"Sportsko društvo ""Skok po skok""";Ivana Culić;Grad Zagreb;Ilica 177;Zagreb;0921915138;skokposkok1@gmail.com;NA
"Dječji vrtić ""Dječji koraci""";Dora Šagud;Grad Zagreb;Oreškovićeva 6h;Zagreb;01/551-4479;dvdjecjikoraci@vip.hr;NA
"Dječji vrtić ""Čarobni svijet""";Blaženka Vukoja;Grad Zagreb;Remetski kamenjak 1;Zagreb;0989288757;info@carobnisvijet.net;NA
Program predškole pri OŠ Hugo Kon;Židovska vjerska zajednica Bet Israel u Hrvatskoj;Grad Zagreb;Trg Katarine Zrinske;Zagreb;0981933514   0995334640;osnovnaskola@hugokon.org;NA
"Društvo sportske rekreacije ""MEDO SPORTAŠ""";Sebastijan Mohar, Mirko Dodig;Grad Zagreb;Stenjevečka ulica 34;Zagreb;091/2547526;medo.sportas@gmail.com;NA
"Dječji vrtić ""Čarobni dvorac""";Adrianna Mrzljak;Grad Zagreb;Trg Ivana Kukuljević;Zagreb;01 389 0006,    098 907 5277;ajm8889@gmail.com;NA
"Dječji vrtić ""SUNČEKO""";Dajana Dankić;Grad Zagreb;Zavrtnica 3/1;Zagreb;091 151 7395;info@djecji-vrtic-sunceko.hr;NA
"Dječji vrtić ""Maleni talenti""";Tamara Skala;Grad Zagreb;Nova Ves 11;Zagreb;01 486 0836;malenitalenti@educarena.com; PO Slavujevac, Slavujevac 18,  
"Dječji vrtić ""MALI ISTRAŽIVAČ""";Lilium Unum d.o.o.;Grad Zagreb;Ede Murtića 7;Zagreb;099 444 8881;josipa@mali-istrazivac.hr; PO Damira Tomljenovića Gavrana, Damira Tomljanovića ,  
udruga Rekreativno društvo SPORT EDUCA;Anita Vukušić Crevar;Grad Zagreb;Trakošćanska ulica 30;Zagreb;091 4411244;info@sport-educa.hr;NA
Sportsko društvo Lavići;Danko Buković i Ludvik Leutar;Grad Zagreb;Fra Filipa Grabovca 20;Zagreb;014650769, 091/5331349;danko@sportski-lavici.hr ;NA
Hrvatski skijaški klub Žuti mačak;Christian Vrdoljak, Jelena Vrdoljak, Ozren Vrdoljak;Grad Zagreb;Junija Palmotića 23;Zagreb;"01/4880 612;098/288 581";info@zutimacak.hr;NA
Udruga Svjetlost u pokretu;Vlasta Kaurić, Anre Michell Jovanović i Tatjana Rupcich;Grad Zagreb;Branimira Gušića 1a;Zagreb;01/381 81 67;rupcichtatjana@net.hr;NA
Dječji vrtić Mačak u čizmama;Udruga Dijete i more , ;Grad Zagreb;Kvintička 82-84;Zagreb;098/633 368;info@macakucizmama.hr;NA
Udruga Udruženje Djeca prva;Blanka Šegović El Khalifa;Grad Zagreb;Hrvatskog proljeća 3;Zagreb;01/2947-066, 01/2947-061;djeca.prva@djeca-prva;NA
Tenis klub Gomiš;Miloš Vejnović, prof.;Grad Zagreb;Ul. Vincenta iz Kast;Zagreb;091/4222407;tkgomis@gmail.com;NA
"Dječji vrtić ""Pingvin""";Dinka Brabec;Grad Zagreb;Svetoklarska 7;Zagreb;095/888 77 86;info@vrtic-pingvin.com;NA
"Dječji vrtić ""Ružičnjak""";Roditeljski institut za odgoj i obrazovanje RINO;Grad Zagreb;Prigornica 2;Zagreb;01/3491-414;ured@djecjivrticruzicnjak.hr;NA
"Dječji vrtić ""Dobro drvo""";Snježana Punčikar , Ana Štefanec;Grad Zagreb;Strojarska 26;Zagreb;01/8897-928;dobrodrvo@protonmail.com;NA
"Dječji vrtić ""RIBICA""";Draženka Migić , Draženka Migić;Grad Zagreb;Čulinečka cesta 190;Zagreb;"098468281; 098278914";djecjivrtic.ribica@gmail.com;NA
Udruga SPORTSKO DRUŠTVO OLYMPIC;Saša Vujaklija;Grad Zagreb;Milana Rešetara 8;Zagreb;098544867;sasa.vujaklija@gmail.com;NA
"Dječji vrtić ""KOCKICA""";Sandra Katalinić;Grad Zagreb;Pešćanska 162;Zagreb;099/7572308;katalinic.sandra@gmail.com; PO Stenjevečka, Stenjevečka 46, 10000 Zagreb
Udruga TUTOR;Vedrana Župić;Grad Zagreb;Našička ulica 14A;Zagreb;+385 91 5090 205;vedrana.zupic@gmail.com;NA
Športska udruga CVRČAK SPORT;Vesna Matulić;Grad Zagreb;IV. Poljanice 4;Zagreb;01 2923272;vesna.cvrcak@gmail.com;NA
"Udruga Plesni studio ""SAM-SA""";Jasmina Zagrajski Vukelić;Grad Zagreb;Dalmatinska 15;Zagreb;"098/205153   ;  01/4848735";samsa.zg@gmail.com;NA
STUDIO LEPEZA;Vladimira Vrhovšek;Grad Zagreb;Pazinska 21;Zagreb;0989742724;lepeza.info@gmail.com;NA
"Udruga ""SPORTSKI PROGRAMI""";Željko Hraski;Grad Zagreb;Vodnikova 3c;Zagreb;098 314 650;zeljko.hraski@kif.hr;NA
"Udruga Društvo za sportsku rekreaciju ""Modus klub""";Dubravko Lilek , Dubravko i Snježana Lilek;Grad Zagreb;Šišićeva 24;Zagreb;098 478 061;lilekd@gmail.com;NA
"Dječji vrtić ""Harfa""";Dubravka Gligorić;Grad Zagreb;Špansko 26;Zagreb;091 7809840;djecjivrtic.harfa@gmail.com;NA
Dječji vrtić Čarobna kućica;Diana Ćaćić / Lorena Godec;Grad Zagreb;Horvatnica 36;Zagreb;092 268 9227, 098 418 528;info@dv-carobna-kucica.hr;NA
Dječji vrtić Žabac;Darko Jenik;Grad Zagreb;Srednjaci 7;Zagreb;01 5531 400;info@vrticzabac.hr;NA
Udruga Plesni centar PULS; Grad Zagreb , Gradski ured za opću upravu;Grad Zagreb;Park Ribnjak 1;Zagreb;0914112150;"ambogdanovic@yahoo.com; kontakti.pcpuls@gmail.com";NA
Plesna udruga MEDVJEDIĆI;Gordana Čengić;Grad Zagreb;Predovečka 11;Zagreb;091 545 95 89;marijeta.levak@gmail.com;NA
Udruga NAUČIMO PUNO;NA;Grad Zagreb;Đure Domaćinovića 11;Zagreb;016620133;info@naucimopuno.hr;NA
"Dječji vrtić ""Mala kuća""";Ines Martinčić;Grad Zagreb;Vrhovec 81;Zagreb;098 921 3195;inesm@kindiezg.com;NA
"DV ""PANDA""";NAJDA ČINDRAK;Grad Zagreb;Zagrebačka 194;Zagreb;091/4440-093;info@dv-panda.hr;NA
"Udruga za kreativni razvoj ""VAL""";Nedjeljka Šegović, Sanja Nikolić, Mirjana Gusić Gulić;Grad Zagreb;Maksimirska 76;Zagreb;091 790 1119;mirjana.gusic.gulic@gmail.com;NA
Udruga za rano učenje stranih jezika CVRČAK;MVM CVRČAK DOO, DV MALI CVRČAK, POU CVRČAK;Grad Zagreb;IV. Poljanice 4;Zagreb;01 2923272;vesna@mvmcvrcak.hr;NA
Udruga za promicanje plesnog izražaja mladih LAUTITIA;Elena Kremnjova;Grad Zagreb;11. Trokut 3;Zagreb;0914018881;pasiva@pasiva.hr;NA
Ritmičko plesna udruga Mali cvrčak;MVM CVRČAK DOO, DV MALI CVRČAK, POU CVRČAK;Grad Zagreb;IV. Poljanice 4;Zagreb;01 2923272;cvrcak@mvmcvrcak.hr;NA
Udruga za promicanje engleskog jezika i kulture BARNI;Božena Kermenc;Grad Zagreb;Matijašec 13;Zagreb;01 234 8530 / mob 098705561;udruga.barni@gmail.com;NA
Udruga SPORT BILLY;NŠK SPORT BILLY;Grad Zagreb;Prilaz S. Raškaj 5;Zagreb;0951975008;bkubla@yahoo.com;NA
"Udruga Univerzalna sportska škola ""3 PLUS""";Zoran Durmiš;Grad Zagreb;III. Pile 25;Zagreb;098 1700 413;zorandurmis@gmail.com;NA
Udruga POPEYE;Margareta Salaj;Grad Zagreb;Stubička 8;Zagreb;091 253 9443;mmegipopeye@gmail.com;NA
Udruga SPIKA;Asenka Kramer;Grad Zagreb;Badalićeva 2;Zagreb;01 369 86 79;kramer@inet.hr;NA
Udruga Tenis klub ZAGI;Katarina Jarčov;Grad Zagreb;Havidićeva 38;Zagreb;"09232413357; 0916600811";"tkzagi@gmail.com; luka.korov@gmail.com; mjarcov@gmail.com";NA
Udruga Sportska piramida;Emil Lordanić;Grad Zagreb;Vidovečka;Zagreb;091 513 2112;sportskapiramida@gmail.com;NA
Udruga Društvo sportske rekreacije Mali sportaši;Trpimir Petrač,Goran Russo;Grad Zagreb;Karašička 35;Zagreb;091 513 24 26;malisportasi@malisportasi.hr;NA
Udruga Plesni studio Step by step (KORAK PO KORAK);Jasminka Zajec , ;Grad Zagreb;II. Maksimirsko naselje 3;Zagreb;091 1406951;info@stepbystep.hr;NA
"Udruga Društvo športske rekreacije Sport za sve ""Špansko-Zagreb""";Stipe Tokić , ;Grad Zagreb;Bernarda Vukasa 28;Zagreb;091 787 5220;tokicstipe9@gmail.com;NA
"Udruga Društvo športske rekreacije ""ŠPORTIĆI""";Robert Bujanić , Robert Bujanić;Grad Zagreb;Siget 16d;Zagreb;091 5156024;robert@sportici.hr;NA
"Dječji vrtić ""Palčić""";KSENIJA SIROVEC;Grad Zagreb;Saliha Alića 4;Zagreb;01/3704072;info@palcic-zagreb.hr;NA
"Dječji vrtić ""Košnica""";Tomislav Brkić i Križana Brkić , TOMISLAV BRKIĆ I KRIŽANA BRKIĆ;Grad Zagreb;Medpotoki 1a;Zagreb;01/3470 326;info@dv-kosnica.hr;NA
"Dječji vrtić ""Limač""";Anita Golubić;Grad Zagreb;Dubravica 52;Zagreb;01 3499 765;ravnatelj@limac.hr; PO Dubravica, Dubravica 41c, 10000 Zagreb
"DV ""Šarena loptica""";Grmej d.o.o.;Grad Zagreb;Nova Ves 3;Zagreb;095 517 5732, 091-4855095;info@dv-sarenaloptica.hr; PO Nova Ves 5a, Nova Ves 5a,  
"Dječji vrtić ""Botinec""";Grad Zagreb;Grad Zagreb;Zlatarevog zlata 67;Zagreb;01/6545-905;vrtic-botinec@zagreb.hr; PO Kuća, Ivice Kičmanovića 13, 10020 Zagreb ,  PO Odra, Đačka 1, Odra, 10020 Zagreb ,  PO Mala Mlaka, Malomlačka 83, 10020 Zagreb
"Dječji vrtić ""Zapruđe""";Grad Zagreb;Grad Zagreb;Baburičina 11;Zagreb;01/6671-356;vrtic.zaprude@zagreb.hr; PO Vankinina, Vankina 12, 10020 Zagreb ,  PO Središće, Ede Murtića 6-8, 10000 Zagreb
Program predškole pri OŠ Montessori barunice Dedee Vranyczany;"Udruga roditelja ""Maria Montessori"" Zagreb";Grad Zagreb;Matka Mandića 2;Zagreb;3694493;omontess@gmail.com;NA
Dječji vrtić Radost;Grad Zagreb;Grad Zagreb;Ljubijska 79a;Zagreb;01/2851-437;vrtic.radost@zagreb.hr; PO Hrvatskog proljeća 20, Hrvatskog proljeća 2, 10040 Zagreb ,  PO Hrvatskog proljeća 22, Hrvatskog proljeća 22, 10040 Zagreb ,  PO Hrvatskog proljeća 18, Hrvatskog proljeća 1, 10040 Zagreb
"Dječji vrtić ""Medo Brundo""";Grad Zagreb;Grad Zagreb;Dubrava 185;Zagreb;01/ 2853 - 993;vrtic.medobrundo@zagreb.hr; PO Dubrava 205, Dubrava 205, 10040 Zagreb ,  PO Dubrava 230, Dubrava 230, 10040 Zagreb ,  PO A.lipa 1f, Aleja lipa 1f, 10040 Zagreb
