naziv;opis;sifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web
FRANJEVAČKA KLASIČNA GIMNAZIJA U SINJU S PRAVOM JAVNOSTI;Srednja škola;17-075-504;Splitsko-dalmatinska;ULICA FRANJEVAČKE KLASIČNE GIMNAZIJE 22;21230  Sinj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josko  Kodžoman;021/821-809, 021/660-480;021/821-809;fkgsinj@gmail.com , ured@gimnazija-franjevacka-klasicna-sinj.skole.hr;NA
GLAZBENA ŠKOLA FRANA LHOTKE;Osnovna škola, Srednja škola, Umjetnička škola;03-076-508;Sisačko-moslavačka;Trg Ljudevita Posavskog 2;44000  Sisak; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tomislav  Ivšić;044/548-528;044/548-528;gsfranalhotke@gmail.com  , ured@ogs-franlhotka-sk.skole.hr;http://www.fran-lhotka.hr
GIMNAZIJA SISAK;Srednja škola;03-076-501;Sisačko-moslavačka;TRG HRVATSKIH BRANITELJA 1;44000  Sisak; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Božidar  Dujmić;0994949742;NA;gimnazija.sisak@gmail.com;NA
Industrijsko-obrtnička škola Sisak;Srednja škola;03-076-502;Sisačko-moslavačka;MARIJANA CVETKOVIĆA 2;44000  Sisak; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Vrbik;044/537-218, 099 2161279 , 044/537-212, 099 2161289;044/538-962;ravnatelj@ss-industrijsko-obrtnicka-sk.skole.hr; , http://ss-industrijsko-obrtnicka-sk.skole.hr/
Srednja škola Viktorovac;Srednja škola;03-076-503;Sisačko-moslavačka;Aleja narodnih heroja 1;44000  Sisak; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Koraljka  Porić;044526584 , 044526586 , 044533376 , 044526581 , 044526585 , 044526582;044526588;ured@ss-viktorovac-sk.skole.hr;http://ss-viktorovac-sk.skole.hr/
Strukovna škola Sisak;Srednja škola;03-076-505;Sisačko-moslavačka;Ivana Fistrovića 1B;44000  Sisak; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivica  Beloglavec;044/534 955 , 044/534 956 , 044/530 607 , 044 295 117 , 044/530-606 , 044/530-608;044/530-608;ured@ss-strukovna-sk.skole.hr  ;NA
Tehnička škola Sisak;Srednja škola;03-076-506;Sisačko-moslavačka;MARIJANA CVETKOVIĆA 2;44000  Sisak; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Davor  Malović;044/537-335 , 044/537-219 , 044/537-219 , 044/537-217;075/801-103;tehnicka.sisak@ss-tehnicka-sk.skole.hr;NA
EKONOMSKA ŠKOLA SISAK;Srednja škola;03-076-507;Sisačko-moslavačka;KRALJA TOMISLAVA 19;44000  Sisak; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marina  Jovanić;044/549-798 , 044/549-799;044/549-799;ured@ss-ekonomska-sk.skole.hr;ss-ekonomska-sk.skole.hr
Srednja škola Marka Marulića Slatina;Srednja škola;10-067-502;Virovitičko-podravska;TRG RUĐERA BOŠKOVIĆA 16 ;33520  Slatina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Roštaš;033/551-449 , 033/551-641 , 033/551-449 ;033/551-577;ured@ss-mmarulica-slatina.skole.hr , ured@ss-mmarulica-slatina.skole.hr;http://www.ss-mmarulica-slatina.skole.hr/
Industrijsko-obrtnička škola Slatina;Srednja škola;10-067-503;Virovitičko-podravska;TRG RUĐERA BOŠKOVIĆA 5a;33520  Slatina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mladen  Graovac;033492511 , 033/492-510;NA;ravnatelj@ss-industrijsko-obrtnicka-sl.skole.hr;http://www.ss-industrijsko-obrtnicka-sl.skole.hr
SREDNJA ŠKOLA MATIJE ANTUNA RELJKOVIĆA SLAVONSKI BROD;Srednja škola;12-078-501;Brodsko-posavska;IVANA CANKARA 76;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marija  Tomić;035/255-697 , 035/255-697 , 035/415-386 , 035/416-137;035/402-981;srednja-skola-mar@sb.t-com.hr;www.http://ss-mareljkovica-sb.skole.hr
OBRTNIČKO-TEHNIČKA ŠKOLA;Srednja škola;12-078-502;Brodsko-posavska;NAZOROVA 9;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Anita  Holub;035/447-326 , 035/447-326 , 035/407-421 , 035/442-328;035/407-420;ured@ss-obrtnicko-tehnicka-sb.skole.hr;NA
Gimnazija Matija Mesić;Srednja škola;12-078-503;Brodsko-posavska;SLAVONIJA I br. 8;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;035/408-410 , 035/ 446-251;035/402-880;gmm@gimnazija-mmesic-sb.skole.hr;http://www.gimnazija-mmesic-sb.skole.hr
Glazbena škola Slavonski Brod;Osnovna škola, Srednja škola, Umjetnička škola;12-078-510;Brodsko-posavska;Vukovarska 1;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirela  Jagodić;035/447-148 , 035/445-200;035/445-200;glazbena@gs-sbrod-sb.skole.hr;NA
INDUSTRIJSKO-OBRTNIČKA ŠKOLA;Srednja škola;12-078-504;Brodsko-posavska;Eugena Kumičića 55;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Luka  Mladinović;035/402-561 , 035/492-670 , 035/492-673 , 035/492-671 , 035/492-672 , 035/493-471 , 035/492-674 , 035/492-675 , 035/492-676 , 035/492-677 , 035/408-960 , 035/410-542 , 035/410-542 , 035/402-560;035/410-544;industrijsko-obrtnicka.skola@inet.hr , industrijskoobrtnickaskola@optinet.hr;NA
TEHNIČKA ŠKOLA;Srednja škola;12-078-505;Brodsko-posavska;EUGENA KUMIČIĆA 55;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vikica  Lukić;035/492-062 , 035/492-063 , 035/492-061 , 035/492-064 , 035/411-478 , 035/492-067;035/446-160;tssb@tssb.hr , tehnicka_skola_sb@optinet.hr  , ured@ss-tehnicka-slavonski-brod.skole.hr ;http://tssb.hr/
EKONOMSKO-BIROTEHNIČKA ŠKOLA;Srednja škola;12-078-506;Brodsko-posavska;Naselje Andrija Hebrang 13/1;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mato  Čaklovac;035/443-175 , 035/443-175 , 035/442-326;035/442-326;skola@ss-ekonomsko-birotehnicka-sb.skole.hr;NA
SREDNJA MEDICINSKA ŠKOLA;Srednja škola;12-078-507;Brodsko-posavska;VATROSLAVA JAGIĆA 3A;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jelena  Jelinić-Bošnjak;035/400-060 , 035/442-492 , 035/411-402;035/446-271;sms@ss-medicinska-sb.skole.hr , jelena.jelinic-bosnjak@skole.hr;NA
Klasična gimnazija fra Marijana Lanosovića s pravom javnosti;Srednja škola;12-078-508;Brodsko-posavska;Vukovarska 1/a;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Klaudio  Milohanović;035/415-152 , 035/440069 , 035/440-069 , 035/443-821 , 035/409-422;NA;pedagog@gimnazija-framarijanalanosovica.hr , ravnatelj@gimnazija-framarijanalanosovica.hr;http://gimnazija-framarijanalanosovica.hr
SREDNJA ŠKOLA SLUNJ;Srednja škola;04-079-501;Karlovačka;ŠKOLSKA 22;47240  Slunj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Diana  Cindrić;047/811-895 , 047/811-896 , 047/811-158 , 047/777-503;047/811-157;ss-slunj@ss-slunj.skole.hr;http://ss-slunj.skole.hr/
PRIRODOSLOVNA ŠKOLA SPLIT;Srednja škola;17-126-501;Splitsko-dalmatinska;MATICE HRVATSKE 11;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marija  Pustak;021/465-462 , 021/468-871 , 021/434-590 , 021/465-462;NA;prirodoslovna@prirodoslovna.hr;www.prirodoslovna.hr
ELEKTROTEHNIČKA ŠKOLA - SPLIT;Srednja škola;17-126-502;Splitsko-dalmatinska;TESLINA 2;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanio  Bečić;021/385-941 , 021/385-941 , 021/385-936;021/385-936;ured@ss-elektrotehnicka-st.skole.hr;http://www.ss-elektrotehnicka-st.skole.hr/
GRADITELJSKO-GEODETSKA TEHNIČKA ŠKOLA;Srednja škola;17-126-503;Splitsko-dalmatinska;MATICE HRVATSKE 11;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Filip  Relja;021/558-430 , 021/468-199;021/468-199;ured@ss-graditeljskogeodetskatehnicka-st.skole.hr;https://ggts.hr/
OBRTNIČKA ŠKOLA;Srednja škola;17-126-504;Splitsko-dalmatinska;NODILOVA 3;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Davor  Kulić;021/343-612;NA;ured@ss-obrtnicka-st.skole.hr;http://ss-obrtnicka-st.skole.hr
I. GIMNAZIJA SPLIT;Srednja škola;17-126-505;Splitsko-dalmatinska;NIKOLE TESLE 10;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dobrila  Gotovac Stipaničev;021/315-476 , 021/384-944 , 021/384-966 , 021/315-475;NA;tajnistvo@gimnazija-prva-st.skole.hr , gimnazija@gimnazija-prva-st.skole.hr;www.gimnazija-prva-st.skole.hr
II. GIMNAZIJA;Srednja škola;17-126-506;Splitsko-dalmatinska;NIKOLE TESLE 10;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivanka  Kovačević;"021/385-914; 021/384-969 , 021/384-807 , 021/386-174";021385914;ured@gimnazija-druga-st.skole.hr;www.gimnazija-druga-st.skole.hr
III. GIMNAZIJA;Srednja škola;17-126-507;Splitsko-dalmatinska;MATICE HRVATSKE 11;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Deana  Bokšić;021/558-420 , 021/558-428 , 021/558-421;021/465-445;iiigs@trema.hr;www.trema.hr
IV. GIMNAZIJA MARKO MARULIĆ;Srednja škola;17-126-508;Splitsko-dalmatinska;ZAGREBAČKA 2;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ninočka  Knežević;021/346-296 , 021/344-484 , 021/348-380;021/315-632;ured@gimnazija-cetvrta-mmarulic-st.skole.hr;http://gimnazija-cetvrta-mmarulic-st.skole.hr/
V. GIMNAZIJA VLADIMIR NAZOR SPLIT;Srednja škola;17-126-509;Splitsko-dalmatinska;ZAGREBAČKA 2;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ankica  Kovač;021/348-381 , 021/344-922 , 021/344-922;021/315-250;  sluzbenik@gimnazija-peta-vnazor-st.skole.hr , vnazor@petagimnazijast.hr;www.petagimnazijast.hr
Nadbiskupijska klasična gimnazija Don FRANE BULIĆ - s pravom javnosti;Srednja škola;17-126-510;Splitsko-dalmatinska;ZRINSKO-FRANKOPANSKA 19;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Don Josip  Dukić;021/323-443 , 021/323-440 , 021/323-441;021/386-149;tajnistvo@nkg-split.hr;www.nkg-split.hr
EKONOMSKA I UPRAVNA ŠKOLA;Srednja škola;17-126-511;Splitsko-dalmatinska;VUKOVARSKA 37;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Neda  Bartulin;021/401-300 , 021/401-312, 021/401-311,021/ 401-317, 021/401-316;NA;ured@ss-ekonomskaiupravna-st.skole.hr;www.ss-ekonomskaiupravna-st.skole.hr
KOMERCIJALNO-TRGOVAČKA ŠKOLA SPLIT;Srednja škola;17-126-512;Splitsko-dalmatinska;ANTUNA GUSTAVA MATOŠA 60;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirela  Maričić;021/386-031,041 , 021/386-829;021/386-829;ured@ss-kom-trg-st.skole.hr;NA
SREDNJA TEHNIČKA PROMETNA ŠKOLA;Srednja škola;17-126-513;Splitsko-dalmatinska;TESLINA 4;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Balić;021/385-937 , 021/344-649, 385-942 , 021/385-910;021/385-903;tajnistvo@ss-tehnicka-prometna-st.skole.hr;http://ss-tehnicka-prometna-st.skole.hr/
TEHNIČKA ŠKOLA ZA STROJARSTVO I MEHATRONIKU;Srednja škola;17-126-514;Splitsko-dalmatinska;Zrinsko-Frankopanska 23;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marin  Tvrdić;021/385-944 , 021/322-283 , 021/322-284;021/385-940;tssm@tehnickaskola-split.hr;www.tehnickaskola-split.hr
OBRTNA TEHNIČKA ŠKOLA;Srednja škola;17-126-515;Splitsko-dalmatinska;Plančićeva 1;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Milivoj  Kalebić;021-386-197 , 021/385-938 , 021/385-939;021/385-938;ured@ss-obrtna-tehnicka-st.skole.hr;NA
INDUSTRIJSKA ŠKOLA;Srednja škola;17-126-516;Splitsko-dalmatinska;ZRINSKO FRANKOPANSKA 40;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivana  Vojnović;021/380-776 , 021/380-776 , 021/322-177  ;021/380-773;info@industrijskaskola.hr , info@ss-industrijska-st.skole.hr;http://www.ss-industrijska-st.skole.hr
ŠKOLA ZA DIZAJN, GRAFIKU I ODRŽIVU GRADNJU;Srednja škola;17-126-517;Splitsko-dalmatinska;Matice Hrvatske 11;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Kovačević;021/434-580 , 021/434-581 , 021/434-582;021/465-427;ured@ss-dizajngrafikuiodrzivugradnju-st.skole.hr;www.gogss.hr
POMORSKA ŠKOLA;Srednja škola;17-126-518;Splitsko-dalmatinska;ZRINSKO FRANKOPANSKA 36;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dragan  Pavelin;021 380 749 , 021 380 765 , 021 380 749 , 021 380 767;021 380 764;office@pomsk.hr;www.pomsk.hr
ŠKOLA LIKOVNIH UMJETNOSTI;Srednja škola, Umjetnička škola;17-126-520;Splitsko-dalmatinska;FAUSTA VRANČIĆA 17;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivana  Korjenić;021/467-177 , 021/467-179;021/467-177;skola-likovnih-umjetnosti@st.t-com.hr;ss-likovne-umjetnosti-st.skole.hr
Zdravstvena škola;Srednja škola;17-126-521;Splitsko-dalmatinska;ŠOLTANSKA 15;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Perić;095 2225 876  , 021/466-018 , 021/466-018;NA;split@zdravstvenaskola.hr;http://www.ss-zdravstvena-st.skole.hr/
TURISTIČKO - UGOSTITELJSKA ŠKOLA, SPLIT;Srednja škola;17-126-522;Splitsko-dalmatinska;A. G. MATOŠA 60;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivo  Bilić;021/386-824 , 021/386-824 , 021/386-652;021/386-827;ured@tus-st.hr;http://ss-turisticko-ugostiteljska-st.skole.hr/
SREDNJA ŠKOLA DENTAL CENTAR MARUŠIĆ;Srednja škola;17-126-527;Splitsko-dalmatinska;BENKOVAČKA 10 A;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;021/502-600;NA;dental.marusic@dentalcentarmarusic.com;www.dentalcentarmarusic.com
Privatna jezična gimnazija PITAGORA, srednja škola s pravom javnosti;Srednja škola;17-126-528;Splitsko-dalmatinska;Držićeva 8;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Perica  Barbaroša;021/360-022;021/348-199;gimnazija@pitagora-gimnazija.hr , ured@gimnazija-privatna-jezicna-pitagora-st.skole.hr;www.pitagora-gimnazija.hr
Privatna srednja škola Marko Antun de Dominis, s pravom javnosti;Srednja škola;17-126-529;Splitsko-dalmatinska;Put Brodarice 6;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jelica  Pražen;021/493-542;021/493-542;privatnaskola@dominis.hr , ravnateljica@dominis.hr;www.dominis.hr
GIMNAZIJSKI KOLEGIJ KRALJICA JELENA s pravom javnosti;Srednja škola;17-126-530;Splitsko-dalmatinska;Nodilova 1;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Koraljka  Bezina;021 321 222;021 321 221;gimnazijakraljicajelena1@gmail.com;www.gimnazijskikolegijkraljicajelena.hr
Privatna srednja škola Wallner;Srednja škola;17-126-533;Splitsko-dalmatinska;Makarska 36;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ana  Bulovan;021410362 , 021410024 , 0913214378;021410024  ;info@oliva-allegra.com;www.oliva-allegra.com
Centar za odgoj i obrazovanje JURAJ BONAČI;Osnovna škola, Srednja škola;17-126-535;Splitsko-dalmatinska;BRUNE BUŠIĆA 30;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Čotić;021530663;021535347;centar.juraj.bonaci@gmail.com;https://centar-juraj-bonaci.hr/
Centar za odgoj i obrazovanje SLAVA RAŠKAJ;Osnovna škola, Srednja škola;17-126-536;Splitsko-dalmatinska;RADNIČKA 2;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Čulo;021 541 660;NA;slava.raskaj@st.t-com.hr;http://www.centarslavaraskaj.hr/
GLAZBENA ŠKOLA JOSIPA HATZEA;Osnovna škola, Srednja škola, Umjetnička škola;17-126-525;Splitsko-dalmatinska;TRG HRVATSKE BRATSKE ZAJEDNICE 3;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vesna  Alebić;021/480-049 , 0953482250;021/480-080;ured@ogs-jhatzea-st.skole.hr;http://www.gsjh.hr/
SREDNJA ŠKOLA BRAČ;Srednja škola;17-468-501;Splitsko-dalmatinska;Kralja Petra Krešimira IV. 2;21400  Supetar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Doris  Mazija;021/631-152;NA;tajnistvo@ss-brac-supetar.skole.hr ,  racunovodstvo@ss-brac-supetar.skole.hr , admin@ss-brac-supetar.skole.hr  , ured@ss-brac-supetar.skole.hr;http://ss-brac-supetar.skole.hr/
Srednja škola Dragutina Stražimira;Srednja škola;01-109-501;Zagrebačka;Gundulićeva 2a;10380  Sveti Ivan Zelina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Martina  Zerec;01/2060-047 , 01/2060-622;NA;ured@ss-dstrazimira-svetiivanzelina.skole.hr;http://ss-dstrazimira-svetiivanzelina.skole.hr/
EKONOMSKA ŠKOLA ŠIBENIK;Srednja škola;15-081-501;Šibensko-kninska;Put gimnazije 64;22000  Šibenik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Igor  Friedrich;022/200-388 , 022/212-845 , 091/150-6863 , 022/200-386 , 022/200-387;022/212-845 , 022/219-060;eubt@essibenik.tcloud.hr , eubt@essibenik.tcloud.hr;NA
PROMETNO-TEHNIČKA ŠKOLA ŠIBENIK;Srednja škola;15-081-502;Šibensko-kninska;Put Gimnazije 64;22000  Šibenik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marijan  Bilić;022/331-655 , 022/331-615 , 022/219-779 , 022/214-606 , 022/215-621;022/214-606;admin@ss-prometno-tehnicka-si.skole.hr;NA
Medicinska škola;Srednja škola;15-081-504;Šibensko-kninska;ANTE ŠUPUKA 29;22000  Šibenik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Aleksandra  Acalin;"022/312-550; 022/331-253 , 099/8181755 ";NA;ured@ss-medicinska-si.skole.hr;http://www.ss-medicinska-si.skole.hr
TURISTIČKO-UGOSTITELJSKA ŠKOLA ŠIBENIK;Srednja škola;15-081-505;Šibensko-kninska;Ulica Ante Šupuka 29;22000  Šibenik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Senka  Dodig;022/336-100, 336-320;022/310-136;ured@ss-turisticko-ugostiteljska-si.skole.hr , tus@si.ht.hr;http://ss-turisticko-ugostiteljska-si.skole.hr/
GIMNAZIJA ANTUNA VRANČIĆA;Srednja škola;15-081-506;Šibensko-kninska;Put Gimnazije br. 64;22000  Šibenik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zoran  Smolić;022/213-276 , 022/216-420;022/216-420;gimnazija@gav.hr;http://gav.hr/
TEHNIČKA ŠKOLA;Srednja škola;15-081-507;Šibensko-kninska;Ante Šupuka 31;22000  Šibenik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Belamarić;022/336-618;022/332-074;tehskola@tssibenik.hr , ured@ss-tehnicka-si.skole.hr;www.ss-tehnicka-si.hr
INDUSTRIJSKO-OBRTNIČKA ŠKOLA ŠIBENIK;Srednja škola;15-081-508;Šibensko-kninska;ANTE ŠUPUKA 31;22000  Šibenik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zoran  Živković;"022/334-220, 310-016; , 022/334-220; , 022/334-220;";"022/310-016;";ind.obrt.skola@si.t-com.hr , skola@ss-industrijsko-obrtnicka-si.skole.hr;www.ioss.hr
SREDNJA STRUKOVNA ŠKOLA ŠIBENIK;Srednja škola;15-081-509;Šibensko-kninska;Ante Šupuka 31 ;22000  Šibenik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dražen  Sekso;022/213-383 , 022/214-484;022/213-383;ured@ss-strukovna-si.skole.hr;www.strukovna.hr
GLAZBENA ŠKOLA IVANA LUKAČIĆA;Osnovna škola, Srednja škola, Umjetnička škola;15-081-511;Šibensko-kninska;SPLITSKA 2;22000  Šibenik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ruža  Raguž Cukrov;022/212-227 , 022/215-432;022/200-533;ured@glazbena-ilukacica-si.skole.hr;NA
CENTAR ZA ODGOJ I OBRAZOVANJE ŠUBIĆEVAC;Osnovna škola, Srednja škola;15-081-011;Šibensko-kninska;BANA JOSIPA JELAČIĆA 4;22000  Šibenik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nataša  Tucak;NA;NA;ured@centar-odgojiobrazovanje-subicevac-si.skole.hr;http://centar-odgojiobrazovanje-subicevac-si.skole.hr/
Srednja škola Topusko;Srednja škola;03-202-501;Sisačko-moslavačka;ŠKOLSKA ULICA 14;44415  Topusko; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željka  Gajdek;044/885-104 , 044/811-931 , 044/811-932 , 044/811-933 , 044/811-936;044/811-939;ured@ss-topusko.skole.hr;www.ss-topusko.skole.hr
Srednja škola IVANA LUCIĆA - TROGIR;Srednja škola;17-083-501;Splitsko-dalmatinska;PUT MULINE 2B;21220  Trogir; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jakša  Geić;021/884-891 , 021/881-414;021/881-414;ured@ss-ilucica-trogir.skole.hr;http://ss-ilucica-trogir.skole.hr
SREDNJA STRUKOVNA ŠKOLA BLAŽ JURJEV TROGIRANIN;Srednja škola;17-083-502;Splitsko-dalmatinska;Ul. dr. Franje Tuđmana 1;21220  Trogir; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Karmen  Sinanović;021/882-511 , 021/885-620;021/884-251;sss.bjt.trogir@gmail.com;NA
Srednja škola Valpovo;Srednja škola;14-085-501;Osječko-baranjska;dr. Franje Tuđmana 2;31550  Valpovo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Svjetlana  Kalpić;031/496-782 , 031/496-790 , 031/651-577 , 031/496-781 , 031/496-780 , 031/663-948;031/651-497;svjetlana.kalpic@skole.hr , ss-valpovo@ss-valpovo.skole.hr;https://ss-valpovo.hr/
Prva gimnazija Varaždin;Srednja škola;05-086-501;Varaždinska;Petra Preradovića 14;42000  Varaždin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Janja  Banić;042/302-122 , 042/302-121 , 042/302-123 , 042/302-124, 302-125;042/320-420;ured@gimnazija-varazdin.skole.hr;www.gimnazija-varazdin.hr
Druga gimnazija Varaždin;Srednja škola;05-086-502;Varaždinska;Hallerova aleja 6a;42000  Varaždin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdravka  Grđan;042/330-844 , 042/330-756;042/330-842;2gimnvz@gmail.com , info@gimnazija-druga-vz.skole.hr;www.gimnazija-druga-vz.skole.hr
Elektrostrojarska škola;Srednja škola;05-086-504;Varaždinska;Hallerova aleja 5;42000  Varaždin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Igor  Kos;042 492 360 , 042-492-370 , 042/313-455 , 042-313-498 , 042-492-367 , 042-201-120 , 042-200-914 , 042 492 - 366;042/311-626;ess.vz@skole.hr , ess@vz.t-com.hr;http://www.ess.hr/
Medicinska škola Varaždin;Srednja škola;05-086-505;Varaždinska;Vinka Međerala 11;42000  Varaždin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirjana  Grabar Kruljac;042 492 003 , 042 492 007 , 042 492 015 , 042 492 006 , 042 492 001 , 042 492 002 , 042 492 000;042 492 014;mirjana.grabar-kruljac@medskvz.org , ured@ss-medicinska-vz.skole.hr  , ured@ss-medicinska-vz.skole.hr;www.medskvz.org
Gospodarska škola Varaždin;Srednja škola;05-086-506;Varaždinska;Božene Plazzeriano 4, 42000 Varaždin;42000  Varaždin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Katica  Kalogjera  Novak;042/492-272 , 042/492-271;042/330-786;gospodarska@ss-gospodarska-vz.skole.hr;http://ss-gospodarska-vz.skole.hr/
STROJARSKA I PROMETNA ŠKOLA;Srednja škola;05-086-507;Varaždinska;HALLEROVA ALEJA 3/A;42000  Varaždin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Klarić;"042/493-461, 091/2117740 , 042/493-462, 091/2117705 , 042/493-460, 091/1211777 , 042/210-547;211-777";042/300-475;sips@sips.hr;www.sips.hr
Srednja strukovna škola;Srednja škola;05-086-508;Varaždinska;BOŽENE PLAZZERIANO 4;42000  Varaždin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dražen  Košćak;042/492-255 , 042/492-252 , 042/492-255;042/492-250;sss@sss-vz.hr , strukovna.varazdin@gmail.com;https://sss-vz.hr
Graditeljska, prirodoslovna i rudarska škola;Srednja škola;05-086-509;Varaždinska;HALLEROVA ALEJA 3;42000  Varaždin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vesna  Vrček;042/301-392 , 042/301-391 , 042/200-509 , 042/200-730 , 042/200-733 , 042/313-292 , 042/210-507 , 042/211-442;042/200-508;gprs@ss-gprs-vz.skole.hr;www.rudarska.hr
PRVA PRIVATNA GIMNAZIJA S PRAVOM JAVNOSTI VARAŽDIN;Srednja škola;05-086-515;Varaždinska;Frana Supila 22;42000  Varaždin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nives  Risek;042/200-334 , 042/200-335;042/200-334;privatna.gimnazija@vz.t-com.hr;NA
Centar za odgoj i obrazovanje Tomislav Špoljar;Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola;05-086-007;Varaždinska;JURJA KRIŽANIĆA 33;42000  Varaždin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marin  Vučić;658-450  , 212-787 , 301-363 , 301-362, 091 2212787 , 301-361;301-360;info@centar-tspoljar-vz.skole.hr , info@centar-tspoljar-vz.skole.hr;NA
Glazbena škola u Varaždinu;Osnovna škola, Srednja škola, Umjetnička škola;05-086-512;Varaždinska;Kapucinski trg 8;42000  Varaždin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Davor  Matačić;042200940 , 042200125 , 042213123;042213715;ured@ogs-varazdin.skole.hr , tajnistvo@glazbena.hr , glazbena-skola@vz.t-com.hr;NA
