"Naziv";"Adresa";"Postanski Broj";"Mjesto";"Zupanija";"Telefon";"e Posta"
"Dječji vrtić ""Maza""";"Marinići 80 B";"51216";"Viškovo";"Primorsko-goranska županija ";"099/3 683 185;  091/500 30 41";"maza.vrtic@gmail.com"
"DV ""Malik""";"Široli 1";"51216";"Viškovo";"Primorsko-goranska županija ";"051/258-625";"djecji.vrtic.malik@ri.t-com.hr"
"Dječji vrtić Zvončica";"Marinići 144";"51216";"Viškovo";"Primorsko-goranska županija ";"051/504-131";"dvzvoncica@gmail.com"
"Dječji vrtić ""Zvjezdica mira""";"Franje Kresnika 8";"51000";"Rijeka";"Primorsko-goranska županija ";"051/676-281";"zvjezdicamirarijeka@gmail.com"
"Dječji vrtić ""Nazaret""";"Cvetkov trg 5";"51000";"Rijeka";"Primorsko-goranska županija ";"051/504-644";"djecjivrtic.nazaret@gmail.com"
"Dječji vrtić ""Hlojkica""";"Šetalište I. G. Kova";"51300";"Delnice";"Primorsko-goranska županija ";"051/811-345,051/814-397";"dv-hlojkica@ri.t-com.hr"
"DV ""Bambi"", Vrbovsko";"Kralja  Tomislava 18A";"51326";"Vrbovsko";"Primorsko-goranska županija ";"051/875-014";"bambivrbovsko@net.hr"
"DV ""Medo""";"Trg sv. Lucije 4";"53234";"Udbina";"Ličko-senjska županija ";"053/778-280";"dv.medo@live.com"
"DV ""Pahuljica""";"Palit 135a";"51280";"Palit";"Primorsko-goranska županija ";"051/724-224";"djecji.vrtic.pahuljica@inet.hr"
"Dječji vrtić ""Bubamara""";"Narodnog oslobođenja 2";"51306";"Čabar";"Primorsko-goranska županija ";"098 416 024";"bubamaracabar@hotmail.com"
"Program predškolskog odgoja pri OŠ Rudolfa Strohala";"Školska 22";"51300";"Lokve";"Primorsko-goranska županija ";"051/831-213";"os.rudolfa.strohala@gmail.com ; d.v.lokve@gmail.com"
"Program predškolskog odgoja ""Pahuljice"" pri OŠ Mrkopalj";"Školska 2";"51315";"Tuk Mrkopaljski";"Primorsko-goranska županija ";"051 833-172";"mrkopalj@os-mrkopalj.skole.hr"
"Program predškolskog odgoja pri OŠ Skrad";"Školska 2";"51311";"Gorica Skradska";"Primorsko-goranska županija ";"051/810-695";"os-skrad@os-skrad.skole.hr"
"Dječji vrtić ""Ciciban""";"I. B. Mažuranić 3";"53220";"Otočac";"Ličko-senjska županija ";"053/772-154, 746-037";"djecji.vrtic.ciciban@gs.t-com.hr"
"Program predškolskog odgoja pri OŠ Brod Moravice";"Školska 3";"51312";"Brod Moravice";"Primorsko-goranska županija ";"051/817-135";"skola@os-brod-moravice.skole.hr"
"Dječji vrtić ""Grobnički tići""";"Zastenice 112";"51218";"Čavle";"Primorsko-goranska županija ";"051/296 084";"stanislava.perusic@gmail.com"
"Dječji vrtić ""Čavlić""";"Čavja 49";"51218";"Čavle";"Primorsko-goranska županija ";"051/259-550";"vrtic.cavlic@ri.t-com.hr"
"Kraći program predškolskog odgoja pri Osnovnoj glazbenoj školi Mirković";"Andrije Štangera 67";"51410";"Opatija";"Primorsko-goranska županija ";"051/701-390";"mirkovic.school@gmail.com"
"Dječji vrtić ""Tratinčica""";"Popa Marka Mesića 2";"53260";"Brinje";"Ličko-senjska županija ";"053/700-857";"djecji.vrtic.tratincica@gs.t-com.hr"
"DV ""Travica""";"Ul. Milutina Cihlara Nehajeva 1";"53270";"Senj";"Ličko-senjska županija ";"053/881-313";"vrtictravica@gmail.com"
"Dječji vrtić ""Slapić""";"Hrvatske mladeži 3";"53230";"Korenica";"Ličko-senjska županija ";"053/776-015  099/3402-174";"djecji.vrtic.slapic@gs.t-com.hr"
"Dječji vrtić ""Carić""";"Zeleni put 3";"53291";"Novalja";"Ličko-senjska županija ";"053/662-269 663-672";"ravnateljica@vrtic-caric.hr"
"Dječji vrtić ""Pahuljica""";"Žabička ulica 4";"53000";"Gospić";"Ličko-senjska županija ";"053/572-843; 573-122";"tajnistvo@djecji-vrtic-pahuljica.hr"
"Dječji vrtić ""Cvrčak""";"Pejačevićeva 1";"33000";"Virovitica";"Virovitičko-podravska županija ";"033/801-545";"djecji-vrtic-cvrcak@vt.t-com.hr"
"Dječji vrtić ""Potočnica""";"Trg kralja Tomislava";"33405";"Pitomača";"Virovitičko-podravska županija ";"033/782 287";"vrticpotocnica@net.hr"
"Dječji vrtić ""Suhopolje""";"Ul. kralja Tomislava 28";"33410";"Suhopolje";"Virovitičko-podravska županija ";"033/771-454";"vrtic.suhopolje@vt.t-com.hr"
"Dječji vrtić ""Leptirići""";"Bugarije 20";"23205";"Bibinje";"Zadarska županija ";"023/261-061";"leptirici20@gmail.com"
"Dječji vrtić ""Zeko""";"Trg Zbora narodne garde bb";"33520";"Slatina";"Virovitičko-podravska županija ";"033/551-284";"djecji.vrtic.zeko@gmail.com"
"Dječji vrtić ""Jelenko"" Voćin";"Trg Gospe Voćinske 2";"33522";"Voćin";"Virovitičko-podravska županija ";"033565189";"djecji.vrtic.jelenko@vt.t-com.hr"
"DV ""Palčić""";"Franje Gavrančića 18";"33515";"Orahovica";"Virovitičko-podravska županija ";"033/400-307   -   033/673-222";"vrticpalcic@net.hr"
"Predškolski odgoj pri OŠ A. G. Matoša";"Trg kardinala Franje";"33514";"Čačinci";"Virovitičko-podravska županija ";"033/684-006  ; 033/684-519";"ured@os-agmatosa-cacinci.skole.hr"
"Predškolski odgoj pri OŠ I. G. Kovačića";"Školska ul. 2";"33513";"Zdenci";"Virovitičko-podravska županija ";"033/646-009";"dvzdenci@gmail.com"
"Predškolski odgoj pri OŠ Vladimira Nazora";"ZAGREBAČKA 28";"33520";"Nova Bukovica";"Virovitičko-podravska županija ";"033/400-396";"skola@os-vnazora-novabukovica.skole.hr"
"Glazbena škola Milka Kelemena ";"Braće Radića 4";"33520";"Slatina";"Virovitičko-podravska županija ";"033/550-854";"glazbenamilkakelemena.sl@optinet.hr"
"Dječji vrtić ""Požega""";"Rudinska 8";"34000";"Požega";"Požeško-slavonska županija ";"034/273-663;099/3273-663";"djecji.vrtici.pozega@po.ht.hr i info@djecjivrticpozega.hr"
"Dječji vrtić ""Kockica""";"Slavonska 40";"34551";"Lipik";"Požeško-slavonska županija ";"034/314-372,421-352";"kockica.djecji.vrtic.lipik@po.t-com.hr"
"Dječji vrtić ""Tratinčica""";"Školska 4";"34310";"Pleternica";"Požeško-slavonska županija ";"034/251-388, 095/ 814 3894";"dv.tratincica.pl@gmail.com"
"Dječji vrtić ""Velika""";"Vladimira Nazora 1/g";"34330";"Velika";"Požeško-slavonska županija ";"(034) 233 989, 098 977 14 30";"djecji.vrtic.velika@po.t-com.hr"
"Dječji vrtić ""Maslačak""";"Matice Hrvatske 13b";"34550";"Pakrac";"Požeško-slavonska županija ";"034/313-416";"info@dvmp.hr"
"Dječji vrtić ""Grozdić""";"Vrtićka ulica 4";"34340";"Kutjevo";"Požeško-slavonska županija ";"034/255-175";"dvkutjevo@gmail.com"
"Dječji vrtić ""Ivana Brlić Mažuranić""";"Naselje Andrije Hebranga bb";"35000";"Slavonski Brod";"Brodsko-posavska županija ";"035/446-014";"dv-slav.brod@sb.t-com.hr"
"Dječji vrtić Nova Gradiška";"Trg dr. Franje Tuđmana 2";"35400";"Nova Gradiška";"Brodsko-posavska županija ";"035/361-773";"racunovodstvo@dvng.hr"
"Dječji vrtić ""Latica""";"Ulica Asje Petričić 5D";"23000";"Zadar";"Zadarska županija ";"023314271";"boravak@zd.t-com.hr"
"Dječji vrtić ""Radost""";"Bartola Kašića 3/1";"23000";"Zadar";"Zadarska županija ";"023/211-984";"djecji.vrtic.radost@zd.htnet.hr"
"Dječji vrtić ""Sunce""";"Veslačka 1";"23000";"Zadar";"Zadarska županija ";"023/236-410  mob.099/216-8786";"djecji.vrtic.sunce@zd.t-com.hr"
"Dječji vrtić ""Baltazar""";"Školska 8";"23440";"Gračac";"Zadarska županija ";"023/773-577";"dj.vrtic.baltazar.gracac@zd.t-com.hr"
"Dječji vrtić ""Obrovac""";"Ulica Ivane Brlić Mažuranić bb";"23450";"Obrovac";"Zadarska županija ";"023/689-145";"vrtic.obrovac@gmail.com"
"Dječji vrtić ""Morska vila""";"Dr. Franje Tuđmana 5";"23232";"Nin";"Zadarska županija ";"023/323-485";"morskavila@optinet.hr"
"Dječji vrtić ""Bubamara""";"Velebitska 3";"23420";"Benkovac";"Zadarska županija ";"023/681-144";"dv.bubamara.benkovac@gmail.com"
"Dječji vrtić ""Cvit""";"Ivana Danila 7";"23210";"Sveti Filip i Jakov";"Zadarska županija ";"023-388-605";"cvit7@globalnet.hr"
"Dječji vrtić ""Gardelin""";"Petra Zrinskog 3";"23210";"Pakoštane";"Zadarska županija ";"023/381-828,0993480662";"djecji.vrtic.pakostane@zd.t-com.hr"
"Dječji vrtić ""Lastavica""";"Prijeških mučenika 1";"23273";"Preko";"Zadarska županija ";"023/286-303";"info@djecjivrticlastavica.hr"
"Dječji vrtić ""Biograd""";"MARINA DRŽIĆA 1";"23210";"Biograd na Moru";"Zadarska županija ";"023 386 128  023 383 305";"djecji.vrtic.biograd@gmail.com"
"Dječji vrtić ""Čuperak""";"Borelli 12";"23000";"Zadar";"Zadarska županija ";"0994350009";"dvcuperak@gmail.com"
"Dječji vrtić ""Palčić""";"Saliha Alića 4";"10000";"Zagreb";"Grad Zagreb";"01/3704072";"info@palcic-zagreb.hr"
"Dječji vrtić ""Maslačak""";"Borka Šarlija - Kese 23";"23000";"Zadar";"Zadarska županija ";"023/327-587";"vrticmaslacak@net.hr"
"Dječji vrtić ""Smiješak""";"Rapska 24";"23000";"Zadar";"Zadarska županija ";"023/315-408   326 718";"vesna.baric8@gmail.com"
"Dječji vrtić ""Zlatna Lučica""";"Ulica Marijana Grdovića 6";"23206";"Sukošan";"Zadarska županija ";"023/393-313";"djecji.vrtic.zlatna.lucica@zd.t-com.hr"
"Dječji vrtić ""Smješko""";"Ulica Franje Tuđmana";"23234";"Vir";"Zadarska županija ";"023/362-730";"dv.smjesko.vir.infoadm@gmail.com"
"Dječji vrtić ""Paški mališani""";"Velebitska 6";"23250";"Pag";"Zadarska županija ";"023/611-089";"djecji.vrtic.paski.malisani@zd.t-com.hr"
"Dječji vrtić ""Srdelica""";"Sv. Lovre 16";"23273";"Kali";"Zadarska županija ";"023/281-805";"djecji.vrtic.srdelica.kali@zd.t-com.hr"
"Dječji vrtić ""Stankovci""";"Stankovci bb";"23422";"Stankovci";"Zadarska županija ";"023/380-039";"davor.klaric@atpsi.hr"
"Dječji vrtić ""Pinokio""";"Put Dikla 33";"23000";"Zadar";"Zadarska županija ";"023/333-566";"vukic.ivancica.dvpinokio@gmail.com"
"Dječji vrtić ""Žuto pače""";"Filipa Grabovca 15";"23000";"Zadar";"Zadarska županija ";"099/4334-222";"zuto.pace@gmail.com"
"Dječji vrtić ""Orkulice""";"Ulica sv. Marije b.b.";"23281";"Sali";"Zadarska županija ";"023/377-253";"opcina@opcina-sali.hr"
"DV ""Ćok""";"Put Mrviska 3";"23212";"Tkon";"Zadarska županija ";"023 285 434";"cok.tkon@gmail.com"
"Dječji vrtić ""Bambi""";"Trg Gospe Loretske 1";"23000";"Zadar";"Zadarska županija ";"023/316-262";"vrticbambi@gmail.com"
"Dječji vrtić ""Manulica""";"KUKLJICA bb";"23273";"Kukljica";"Zadarska županija ";"023/373-590";"djecji.vrtic.manulica@zd.t-com.hr"
"Dječji vrtić ""Ribica""";"Ive Senjanina 14 a ";"23000";"Zadar";"Zadarska županija ";"023/311-844";"dvribica@yahoo.com"
"Dječji vrtić ""Zvončić""";"Ulica Petra Krešimira IV. 2";"23241";"Gornji Poličnik";"Zadarska županija ";"023/354-193";"d.v.zvoncic@zd.t-com.hr"
"Dječji vrtić ""Kocka kockica""";"Mate Balote 50";"23000";"Zadar";"Zadarska županija ";"023/335-220";"vedranajerkicperic@gmail.com"
"Dječji vrtić Osijek";"Vijenac Ivana Meštrovića 7";"31000";"Osijek";"Osječko-baranjska županija ";"031/204-700";"dvo@vrticiosijek.hr"
"Dječji vrtić ""Đakovo""";"L.Botića 7/A";"31400";"Đakovo";"Osječko-baranjska županija ";"031/811-305";"djecjivrticdakovo@gmail.com"
"Dječji vrtić ""Cvrčak""";"Vladimira Nazora 34a";"31300";"Beli Manastir";"Osječko-baranjska županija ";"031/701-318";"vrtic.cvrcak@gmail.com"
"Dječji vrtić ""Radost""";"Žrtava Domovinskog r";"31326";"Darda";"Osječko-baranjska županija ";"031/740-412";"vrtic@dvradost.hr"
"Dječji vrtić ""Maslačak""";"Vijenac dr. Franje Tuđmana 2";"31551";"Belišće";"Osječko-baranjska županija ";"031 662 455, 031 663 755";"vrtic.belisce@gmail.com"
"Dječji vrtić ""Maza""";"Prilaz Crvenom križu";"31550";"Valpovo";"Osječko-baranjska županija ";"031/651-451";"djecji.vrtic.maza.valpovo@os.t-com.hr"
"Dječji vrtić ""Tintilinić""";"J. KOZARCA 7";"31224";"Koška";"Osječko-baranjska županija ";"031-681-400";"vrtic.koska.tintilinic@gmail.com"
"Dječji vrtić ""Pinokio""";"Prilaz stadionu 3";"31540";"Donji Miholjac";"Osječko-baranjska županija ";"031 631-919";"djecjivrticpinokio@gmail.com"
"DV ""Zvončić""";"Dore Pejačević 4";"31500";"Našice";"Osječko-baranjska županija ";"031/613-215";"ravnateljica@vrtic-nasice.hr; djecji.vrtic.zvoncicnasice@os.t-com.hr"
"Dječji vrtić ""Jaglac""";"Ulica Alojzija Stepinca 3";"31511";"Đurđenovac";"Osječko-baranjska županija ";"031/601-614   -    0976218846";"djecji.vrtic.jaglac@os.t-com.hr   -   djecji.vrtic.jaglac@gmail.com"
"Dječji vrtić ""Sunčev sjaj - Nazaret""";"Frankopanska 1a";"31400";"Đakovo";"Osječko-baranjska županija ";"031/801-255";"montessori.nazaret@gmail.com"
"Dječji vrtić ""Grlica""";"Biljske satnije ZNG RH 11a";"31327";"Bilje";"Osječko-baranjska županija ";"031/750-144";"djecji.vrtic.grlica.bilje@os.t-com.hr "
"Dječji vrtić ""Zeko""";"Glavna 84A";"31309";"Kneževi Vinogradi";"Osječko-baranjska županija ";"031/731-012";"dvzekoknvin@gmail.com"
"Dječji vrtić ""Mali princ""";"Meštrovićeva 24";"51000";"Rijeka";"Primorsko-goranska županija ";"099 / 22 38 208";"mali.princ@ri.t-com.hr"
"Dječji vrtić ""En ten tini""";"144.brigade Hrvatske";"10360";"Sesvete";"Grad Zagreb";"01/5580133";"vrtic-ententini@zagreb.hr"
"Dječji vrtić ""Calimero""";"Put Josipa Kosora 14";"20000";"Dubrovnik";"Dubrovačko-neretvanska županija ";"020/ 332-893";"vjera.prohaskadj@gmail.com"
"Kraći program predškolskog odgoja pri Osnovnoj glazbenoj školi Jan Vlašimsky Virovitica";"A. Mihanovića 21";"33000";"Virovitica";"Virovitičko-podravska županija ";"033 721 805";"glazbena@vlasimsky.hr"
"Dječji vrtić ""Regoč""";"Luke Botića 23";"31207";"Tenja";"Osječko-baranjska županija ";"098/300-093";"dv.regoc@yahoo.com"
"Dječji vrtić ZVIREK";"Mlinarska cesta 34";"49240";"Stubičke Toplice";"Krapinsko-zagorska županija ";"049 283 355; 091 283 3550";"djecji.vrtic-zvirek@kr.t-com.hr"
"Dječji vrtić ""Školjkica""";"Marijane Radev 2";"23000";"Zadar";"Zadarska županija ";"091 457 88 73";"skoljkica@dv-skoljkica.hr"
"Dječji vrtić ""Košnica""";"Medpotoki 1a";"10000";"Zagreb";"Grad Zagreb";"01/3470 326";"info@dv-kosnica.hr"
"Dječji vrtić ""Klokan""";"Ulica admirala Šubića de Cesana 33";"23000";"Zadar";"Zadarska županija ";"023 394 196";"dvklokan@yahoo.com"
"Dječji vrtić ""Limač""";"Dubravica 52";"10000";"Zagreb";"Grad Zagreb";"01 3499 765";"ravnatelj@limac.hr"
"Dječji vrtić ""Potočić Pisarovina""";"Velika Jamnička 1";"10451";"Pisarovina";"Zagrebačka županija ";"01 6291 032";"dv.potocic.pisarovina@gmail.com"
"Dječji vrtić ""Osmjeh""";"Jurja Barakovića 2a";"23244";"Starigrad";"Zadarska županija ";"023369070";"dv.osmjeh@gmail.com"
"Dječji vrtić ""More""";"Biogradska 5";"23000";"Zadar";"Zadarska županija ";"091 797 1234";"baresict@gmail.com"
"Dječji vrtić ""Dabrić""";"Trg svetog Trojstva ";"48316";"Legrad";"Koprivničko-križevačka županija ";"048 835 318";"djecji.vrtic.dabric@kc.t-com.hr"
"Dječji vrtić ""Višnjan""";"Jože Šurana 2/a";"52463";"Višnjan";"Istarska županija ";"052 449 472; 091 449 0005";"v.mladinov@visnjan.hr"
"Kraći glazbeni program pri Umjetničkoj školi Beli Manastir";"Kralja Tomislava 2";"31300";"Beli Manastir";"Osječko-baranjska županija ";"031 705 027";"usbm.bm@gmail.com"
"Dječji vrtić ""Dječji san""";"Svetonedeljska 18";"10431";"Sveta Nedelja";"Zagrebačka županija ";"098 92 66 512";"sanja.coha4@h-1.hr"
"Dječji vrtić MORE";"Pineta 17, Valbandon";"52100";"Fažana";"Istarska županija ";" 091 4712364 ili 091 9063368";"djecjivrticmore@gmail.com"
"Dječji vrtić ""MALI DUPIN""";"Šibenska 37";"21000";"Split";"Splitsko-dalmatinska županija ";"021 569 561";"anka@andjeli.hr"
"Udruga ""LEPTIR"", igraonica ""Mrav""";"Grobljanska 20";"35214";"Donji Andrijevci";"Brodsko-posavska županija ";"091 2853 553";"leptir@udruga-leptir.hr"
"OŠ Antuna i Stjepana Radića";"Miroslava Krleže 2";"32260";"Gunja";"Vukovarsko-srijemska  županija ";"032 881 115";"ured@os-antunistjepanradic-gunja.skole.hr"
"Dječji vrtić ""Kockice""";"Štrigova bb";"40313";"Štrigova";"Međimurska županija ";"040/851 208; 099 51 44 245";"dj.vrtickockice@gmail.com"
"Program predškole pri OŠ Dežanovac";"Dežanovac 285";"43500";"Dežanovac";"Bjelovarsko-bilogorska županija ";"043 675 840, 845";"os.dezanovac@gmail.com"
"Dječji vrtić ""Šuškalica""";"Put Murvice 17";"23000";"Zadar";"Zadarska županija ";"023 242 039";"silvanacubric@gmail.com"
"Dječji vrtić ""Mala kuća""";"Vrhovec 81";"10000";"Zagreb";"Grad Zagreb";"098 921 3195";"inesm@kindiezg.com"
"Udruga ""Sunčica""";"Ul. kralja Zvonimira 5/2";"10410";"Velika Gorica";"Zagrebačka županija ";"099 6215 407";"kovacjadranka64@gmail.com"
"udruga Univerzalna športska škola ""Junior""";"M. Krleže 1";"42000";"Varaždin";"Varaždinska županija ";"042 210 730";"jagacicsnjezana@gmail.com"
"Dječja igraonica udruga ""MAKI""";"Ulica Matije Gupca 8";"32271";"Andrijaševci";"Vukovarsko-srijemska  županija ";"032 372 504";"svjetlana.drazenovic@gmail.com"
"Gradska knjižnica i čitaonica Virovitica";"Trg bana Josipa Jelačića 5";"33000";"Virovitica";"Virovitičko-podravska županija ";"098 988 5503";"racunovodstvo@knjiznicavirovitica.hr"
"DV ""PANDA""";"Zagrebačka 194";"10000";"Zagreb";"Grad Zagreb";"091/4440-093";"info@dv-panda.hr"
"Dječji vrtić ""Cvrčak-Posedarje""";"Športska ulica 1a";"23242";"Posedarje";"Zadarska županija ";"023 266703";"dvcvrcakposedarje@gmail.com"
"Dječji vrtić ""Val""";"Ulica Joze Krstića 7";"23000";"Zadar";"Zadarska županija ";"098306687";"djecji.vrtic.val@gmail.com"
"Dječji vrtić ""Lira""";"Josipa Kozarca 31";"35000";"Slavonski Brod";"Brodsko-posavska županija ";"035 448 159";"glazbeno@globalnet.hr"
"Dječji vrtić Žirek";"Kralja Stjepana Tomaševića 17c";"10410";"Velika Gorica";"Zagrebačka županija ";"01 6215 572";"info@dv-zirek.hr"
"Dječji vrtić ""Mala oaza""";"Dravska bb";"42202";"Bartolovec";"Varaždinska županija ";"098 1828 368";"dvmalaoaza@gmail.com"
"Dječji vrtić Lojtrica";"Smendrovićeva 9";"10410";"Velika Mlaka";"Zagrebačka županija ";"01 6254 913";"ravnateljica@dv-lojtrica.hr; tajnica@dv-lojtrica.hr; psiholog@dv-lojtrica.hr; pedagog@dv-lojtrica.hr"
"Dječji vrtić ""Čarobna šuma""";"Trg sv.Florijana 14 ";"48260";"Križevci";"Koprivničko-križevačka županija ";"048/498-539";"vrtic.carobnasuma@gmail.com"
"Dječji vrtić Koraci";"Selska cesta 23";"10410";"Velika Gorica";"Zagrebačka županija ";"   016218809";"koraci.ravnateljica.maja@gmail.com"
"Dječji vrtić Mala tratinčica";"I. Zaloka 1g";"40000";"Podturen";"Međimurska županija ";"099/2865511 098/798340";"djecjivrticmalatratincica@gmail.com"
"Udruga JUDO KLUB SAKURA";"Okićka 18";"10431";"Sveta Nedelja";"Zagrebačka županija ";"0977824020";"jk.sakura@hotmail.com"
"Udruga za kreativni razvoj ""VAL""";"Maksimirska 76";"10000";"Zagreb";"Grad Zagreb";"091 790 1119";"mirjana.gusic.gulic@gmail.com"
"Udruga za rano učenje stranih jezika CVRČAK";"IV. Poljanice 4";"10000";"Zagreb";"Grad Zagreb";"01 2923272";"vesna@mvmcvrcak.hr"
"Udruga za promicanje plesnog izražaja mladih LAUTITIA";"11. Trokut 3";"10000";"Zagreb";"Grad Zagreb";"0914018881";"pasiva@pasiva.hr"
"Dječji vrtić Četiri rijeke";"Grge Tuškana 9 a";"47000";"Karlovac";"Karlovačka županija ";"047 659 001";"ravnateljica@vrtic-cetiririjeke.hr"
"Ritmičko plesna udruga Mali cvrčak";"IV. Poljanice 4";"10000";"Zagreb";"Grad Zagreb";"01 2923272";"cvrcak@mvmcvrcak.hr"
"Udruga za promicanje engleskog jezika i kulture BARNI";"Matijašec 13";"10000";"Zagreb";"Grad Zagreb";"01 234 8530 / mob 098705561";"udruga.barni@gmail.com"
"Udruga SPORT BILLY";"Prilaz S. Raškaj 5";"10000";"Zagreb";"Grad Zagreb";"0951975008";"bkubla@yahoo.com"
"Udruga Univerzalna sportska škola ""3 PLUS""";"III. Pile 25";"10000";"Zagreb";"Grad Zagreb";"098 1700 413";"zorandurmis@gmail.com"
"Udruga POPEYE";"Stubička 8";"10000";"Zagreb";"Grad Zagreb";"091 253 9443";"mmegipopeye@gmail.com"
"Udruga SPIKA";"Badalićeva 2";"10000";"Zagreb";"Grad Zagreb";"01 369 86 79";"kramer@inet.hr"
"Udruga Tenis klub ZAGI";"Havidićeva 38";"10000";"Zagreb";"Grad Zagreb";"01 66 58 447;  091/6658447";"zagi_sport@inet.hr;katarina.jarcov1@gmail.com"
"Udruga Sportska piramida";"Vidovečka";"10000";"Zagreb";"Grad Zagreb";"091 513 2112";"sportskapiramida@gmail.com"
"Udruga Društvo sportske rekreacije Mali sportaši";"Karašička 35";"10000";"Zagreb";"Grad Zagreb";"091 513 24 26";"malisportasi@malisportasi.hr"
"Udruga Plesni studio Step by step (KORAK PO KORAK)";"II. Maksimirsko naselje 3";"10000";"Zagreb";"Grad Zagreb";"091 1406951";"info@stepbystep.hr"
"Udruga Društvo športske rekreacije Sport za sve ""Špansko-Zagreb""";"Bernarda Vukasa 28";"10000";"Zagreb";"Grad Zagreb";"091 787 5220";"tokicstipe9@gmail.com"
"Udruga Društvo športske rekreacije ""ŠPORTIĆI""";"Siget 16d";"10000";"Zagreb";"Grad Zagreb";"091 5156024";"robert@sportici.hr"
"Dječji vrtić ""Zlatan""";"Primorska 9";"51000";"Rijeka";"Primorsko-goranska županija ";"051637158";"djecji.vrtic.zlatan@ri.t-com.hr"
"Udruga za šport djece i mladeži Čakovec";"Sportska 2";"40000";"Čakovec";"Međimurska županija ";"0981785801";"teahatlak@gmail.com"
"Dječji vrtić ""Harfa""";"Špansko 26";"10000";"Zagreb";"Grad Zagreb";"091 7809840";"djecjivrtic.harfa@gmail.com"
"Umjetnička škola Matka Brajše Rašana";"Alda Negrija 11";"52220";"Labin";"Istarska županija ";"052 885 443 i 052 885 439";"ured@us-mbrasana.skole.hr"
"Dječji vrtić Čarobna kućica";"Horvatnica 36";"10000";"Zagreb";"Grad Zagreb";"092 268 9227, 098 418 528";"info@dv-carobna-kucica.hr"
"Dječji vrtić Žabac";"Srednjaci 7";"10000";"Zagreb";"Grad Zagreb";"01 5531 400";"info@vrticzabac.hr"
"Udruga Plesni centar PULS";"Park Ribnjak 1";"10000";"Zagreb";"Grad Zagreb";"0914112150";"ambogdanovic@yahoo.com; kontakti.pcpuls@gmail.com"
"Plesna udruga MEDVJEDIĆI";"Bernarda Vukasa 29";"10000";"Zagreb";"Grad Zagreb";"091 545 95 89";"marijeta.levak@gmail.com"
"Udruga NAUČIMO PUNO";"Đure Domaćinovića 11";"10000";"Zagreb";"Grad Zagreb";"016620133";"info@naucimopuno.hr"
"udruga Društvo Naša djeca";"Ulica Maršala Tita 157";"51410";"Opatija";"Primorsko-goranska županija ";"051 272 443";"info@dnd-opatija.hr"
"Udruga Društvo za sportsku rekreaciju ""Modus klub""";"Šišićeva 24";"10000";"Zagreb";"Grad Zagreb";"098 478 061";"lilekd@gmail.com"
"Udruga Športski klub ""Unisport-Samobor""";"Ulica Ivana Perkovca 90";"10430";"Samobor";"Zagrebačka županija ";"091 7247 211, 098 1633 949";"skolman@inet.hr; andreja.popovic@yahoo.com"
"Udruga Plesni studio ""SAM-SA""";"Dalmatinska 15";"10000";"Zagreb";"Grad Zagreb";"098/205153   ;  01/4848735";"samsa.zg@gmail.com"
"Dječji vrtić ""KOKO""";"Stubička 18/1";"10360";"Sesvete";"Grad Zagreb";"01/2000 144";"koko.vrtic@gmail.com"
"Dječji vrtić Mali prijatelji";"Marka Vukasovića 19a";"10430";"Samobor";"Zagrebačka županija ";"0914553784";"maliprijatelji.samobor@gmail.com"
"Športska udruga CVRČAK SPORT";"IV. Poljanice 4";"10000";"Zagreb";"Grad Zagreb";"01 2923272";"vesna.cvrcak@gmail.com"
"Osnovna škola Gradina";"Trg kralja Zvonimira 9";"33411";"Gradina";"Virovitičko-podravska županija ";"033/784 150, 784 159";"ured@os-gradina.skole.hr"
"Gradska knjižnica Franjo Marković Križevci";"Trg svetog Florijana";"48260";"Križevci";"Koprivničko-križevačka županija ";"048/682-646";"knjiznica-krizevci@kc.t-com.hr"
"Program predškolskog odgoja pri OŠ Katarine Zrinski";"Krnjak 20";"47242";"Krnjak";"Karlovačka županija ";"047/727-200";"ured@os-kzrinski-krnjak.skole.hr"
"STUDIO LEPEZA";"Pazinska 21";"10000";"Zagreb";"Grad Zagreb";"0989742724";"lepeza.info@gmail.com"
"Udruga ARTis";"Ulica Biskupa Augustina Kažotića 8";"10370";"Dugo Selo";"Zagrebačka županija ";"098 943 5824";"artis.fpg@gmail.com"
"Udruga ""SPORTSKI PROGRAMI""";"Vodnikova 3c";"10000";"Zagreb";"Grad Zagreb";"098 314 650";"zeljko.hraski@kif.hr"
"Program predškole pri OŠ Katarina Zrinski ";"Mečenčani bb";"44430";"Donji Kukuruzari";"Sisačko-moslavačka županija ";"044 510 074";"ured@os-kzrinska-mecencani.skole.hr"
"Udruga TUTOR";"Našička ulica 14A";"10000";"Zagreb";"Grad Zagreb";"+385 91 5090 205";"vedrana.zupic@gmail.com"
"Dječji vrtić ""RUNOLIST""";"Žarovnica 110j";"42250";"Lepoglava";"Varaždinska županija ";"0913106862";"djecjivrticrunolist@gmail.com"
"Sportska udruga ""SLAVUJI""";"KERESTINEC, KERESTINEČKA 46";"10431";"Sveta Nedelja";"Zagrebačka županija ";"0912525024";"suslavuji@gmail.com"
"Dječji vrtić ""KOCKICA""";"Pešćanska 162";"10000";"Zagreb";"Grad Zagreb";"099/7572308";"katalinic.sandra@gmail.com"
"Dječji vrtić ""VRAPČIĆ""";"Soblinečka 29";"10362";"Kašina";"Grad Zagreb";"098/266992";"dv.vrapcic@gmail.com"
