"Šifra";"Naziv";"Županija";"Poštanski Broj";"Mjesto";"Adresa";"Tip Ustanove";"Osnivač";"Ravnatelj";"Telefon";"Faks";"e Pošta";"Web"
"17-030-502";"OBRTNIČKO-INDUSTRIJSKA ŠKOLA U IMOTSKOM";"Splitsko-dalmatinska županija";"21260";"Imotski";"BRUNE BUŠIĆA 59";"Srednja škola";"Splitsko-dalmatinska županija";"Nediljko  Biočić";"021/842-333, 021/841-146";"021/670055";"ured@ss-obrtnicko-industrijska-imotski.skole.hr";""
"17-030-503";"EKONOMSKA ŠKOLA";"Splitsko-dalmatinska županija";"21260";"Imotski";"BRUNA BUŠIĆA 59";"Srednja škola";"Splitsko-dalmatinska županija";"Željko  Đuzel";"021/842-222, 021/842-229";"021/842-222";"ured@ss-ekonomska-imotski.skole.hr, djelatnici@ss-ekonomska-imotski.skole.hr, ured@ss-ekonomska-imotski.skole.hr";""
"17-030-504";"TEHNIČKA ŠKOLA U IMOTSKOM";"Splitsko-dalmatinska županija";"21260";"Imotski";"BRUNE BUŠIĆA 59";"Srednja škola";"Splitsko-dalmatinska županija";"Jure  Vujević";"021/841-550, 021/841-550";"021/841-151";"ured@ss-tehnicka-imotski.skole.hr";"www.ss-tehnicka-imotski.skole.hr"
"17-030-505";"GIMNAZIJA DR. MATE UJEVIĆA";"Splitsko-dalmatinska županija";"21260";"Imotski";"BRUNA BUŠIĆA 59";"Srednja škola";"Splitsko-dalmatinska županija";"Boris  Karin";"021/843-098, 021/670-337";"021/843-098";"gimnazija@gimnazija-mujevica-im.skole.hr";""
"17-047-501";"SREDNJA ŠKOLA FRA ANDRIJE KAČIĆA MIOŠIĆA";"Splitsko-dalmatinska županija";"21300";"Makarska";"Breljanska 3";"Srednja škola";"Splitsko-dalmatinska županija";"Slavko  Gudelj";"021/610-304, 021/610-304, 021/610-200, 021/678-268";"021/610-200";"ured@ss-fraandrijekacicamiosica-ma.skole.hr";"http://www.ss-fraandrijekacicamiosica-ma.skole.hr/"
"17-047-502";"SREDNJA STRUKOVNA ŠKOLA";"Splitsko-dalmatinska županija";"21300";"Makarska";"Breljanska 3";"Srednja škola";"Splitsko-dalmatinska županija";"Momir  Sumić";"021/678 017, 021/678-016";"021 678 016";"ured@ss-strukovna-ma.skole.hr";"www.sss-makarska.hr"
"17-057-501";"Srednja škola Jure Kaštelan";"Splitsko-dalmatinska županija";"21310";"Omiš";"TRG KRALJA TOMISLAVA 2";"Srednja škola";"Splitsko-dalmatinska županija";"Tereza  Srdelić";"021/861-117, 021/861-117";"021/862-320";"ured@ss-jkastelan-omis.skole.hr";""
"17-075-501";"Srednja strukovna škola bana Josipa Jelačića";"Splitsko-dalmatinska županija";"21230";"Sinj";"Dinka Šimunovića 14.";"Srednja škola";"Splitsko-dalmatinska županija";"Boris  Grčić-Rako";"021/668-583, 021/668-586";"021/826-461";"tajnistvo@ss-strukovna-banajosipajelacica-sinj.skole.hr";""
"17-075-502";"GIMNAZIJA DINKA ŠIMUNOVIĆA U SINJU";"Splitsko-dalmatinska županija";"21230";"Sinj";"DINKA ŠIMUNOVIĆA 10";"Srednja škola";"Splitsko-dalmatinska županija";"Tomislav  Bilić";"021/821-608, 021/821-808";"021/825-444";"ured@gimnazija-dsimunovica-sinj.skole.hr";""
"17-075-503";"TEHNIČKA I INDUSTRIJSKA ŠKOLA RUĐERA BOŠKOVIĆA U SINJU";"Splitsko-dalmatinska županija";"21230";"Sinj";"DINKA ŠIMUNOVIĆA  12";"Srednja škola";"Splitsko-dalmatinska županija";"Jozo  Radić";"021/821-522, 021/821-522, 021/821-502, 021/821-818";"021/821-502";"tis@ss-rboskovic-sinj.skole.hr";"tiswebstranica@gmail.com"
"17-075-504";"FRANJEVAČKA KLASIČNA GIMNAZIJA U SINJU S PRAVOM JAVNOSTI";"Splitsko-dalmatinska županija";"21230";"Sinj";"ULICA FRANJEVAČKE KLASIČNE GIMNAZIJE 22";"Srednja škola";"Franjevačka provincija Presvetog Otkupitelja";"Blaž  Toplak";"021/821-809, 021/660-480";"021/821-809";"ured@gimnazija-franjevacka-klasicna-sinj.skole.hr, fkgsinj@gmail.com";""
"17-083-501";"Srednja škola IVANA LUCIĆA - TROGIR";"Splitsko-dalmatinska županija";"21220";"Trogir";"PUT MULINE 2B";"Srednja škola";"Splitsko-dalmatinska županija";"Jakša  Geić";"021/884-891, 021/881-414";"021/881-414";"ured@ss-ilucica-trogir.skole.hr";"http://ss-ilucica-trogir.skole.hr"
"17-083-502";"SREDNJA STRUKOVNA ŠKOLA BLAŽ JURJEV TROGIRANIN";"Splitsko-dalmatinska županija";"21220";"Trogir";"Ul. dr. Franje Tuđmana 1";"Srednja škola";"Splitsko-dalmatinska županija";"Karmen  Sinanović";"021/882-511, 021/885-620";"021/884-251";"sss.bjt.trogir@gmail.com";""
"17-090-501";"SREDNJA ŠKOLA ANTUN MATIJAŠEVIĆ - KARAMANEO";"Splitsko-dalmatinska županija";"21480";"Vis";"VIŠKOG BOJA 9";"Srednja škola";"Splitsko-dalmatinska županija";"Tončica  Poduje Vojković";"021/711-449, 021/711-748";"021/711-449";"ured@ss-amkaramaneo-vis.skole.hr";""
"17-093-501";"SREDNJA ŠKOLA TINA UJEVIĆA";"Splitsko-dalmatinska županija";"21276";"Vrgorac";"MATICE HRVATSKE 8";"Srednja škola";"Splitsko-dalmatinska županija";"Josip  Gašpar";"021/674-026, 021/674-335";"021/674-335";"ured@ss-tujevic-vrgorac.skole.hr";"http://ss-tujevic-vrgorac.skole.hr/"
"17-124-501";"SREDNJA ŠKOLA BRAĆA RADIĆ";"Splitsko-dalmatinska županija";"21216";"Kaštel Štafilić - Nehaj";"Put poljoprivrednika 5";"Srednja škola";"Splitsko-dalmatinska županija";"Marija  Kezele";"021/234-505, 00385915025365, 021/234-599, 234-587";"021/234-599";"ured@ss-bracaradic-kastelstafilicnehaj.skole.hr";""
"17-126-501";"PRIRODOSLOVNA TEHNIČKA ŠKOLA - SPLIT";"Splitsko-dalmatinska županija";"21000";"Split";"MATICE HRVATSKE 11";"Srednja škola";"Splitsko-dalmatinska županija";"Marija  Pustak";"021/434-590, 021/465-462, 021/465-462, 021/468-871";"021/465-462";"prirodoslovna@prirodoslovna.hr";""
"17-126-502";"ELEKTROTEHNIČKA ŠKOLA - SPLIT";"Splitsko-dalmatinska županija";"21000";"Split";"TESLINA 2";"Srednja škola";"Splitsko-dalmatinska županija";"Igor  Radanović";"021/385-941, 021/385-941, 021/385-936";"021/385-936";"ured@ss-elektrotehnicka-st.skole.hr";"www.ets-split.hr"
"17-126-503";"GRADITELJSKO-GEODETSKA TEHNIČKA ŠKOLA";"Splitsko-dalmatinska županija";"21000";"Split";"MATICE HRVATSKE 11";"Srednja škola";"Splitsko-dalmatinska županija";"Filip  Relja";"021/468-199, 021/558-430";"021/468-199";"ured@ss-graditeljskogeodetskatehnicka-st.skole.hr";""
"17-126-504";"OBRTNIČKA ŠKOLA";"Splitsko-dalmatinska županija";"21000";"Split";"NODILOVA 3";"Srednja škola";"Splitsko-dalmatinska županija";"Davor  Kulić";"021/343-612, 021/347-612, 021/347-612";"021/361-057";"ured@ss-obrtnicka-st.skole.hr";""
"17-126-505";"I. GIMNAZIJA SPLIT";"Splitsko-dalmatinska županija";"21000";"Split";"NIKOLE TESLE 10";"Srednja škola";"Splitsko-dalmatinska županija";"Marijan  Puljiz";"021/384-944, 021/315-476";"021/384-966, 021/315-475";"gimnazija@gimnazija-prva-st.skole.hr, tajnistvo@gimnazija-prva-st.skole.hr";"www.gimnazija-prva-st.skole.hr"
"17-126-506";"II. GIMNAZIJA";"Splitsko-dalmatinska županija";"21000";"Split";"NIKOLE TESLE 10";"Srednja škola";"Splitsko-dalmatinska županija";"Ivanka  Kovačević";"021/322 195, 021/386-174, 021/384-807, 021/385-914; 021/384-969";"";"ured@gimnazija-druga-st.skole.hr";"www.gimnazija-druga-st.skole.hr"
"17-126-507";"III. GIMNAZIJA";"Splitsko-dalmatinska županija";"21000";"Split";"MATICE HRVATSKE 11";"Srednja škola";"Splitsko-dalmatinska županija";"Mirjana  Matijević";"021/558-428, 021/558-421, 021/558-420";"021/465-445";"iiigs@trema.hr";"www.trema.hr"
"17-126-508";"IV. GIMNAZIJA MARKO MARULIĆ";"Splitsko-dalmatinska županija";"21000";"Split";"ZAGREBAČKA 2";"Srednja škola";"Splitsko-dalmatinska županija";"Ninočka  Knežević";"021/344-484, 021/348-380, 021/346-296";"021/315-632";"ured@gimnazija-cetvrta-mmarulic-st.skole.hr";""
"17-126-509";"V. GIMNAZIJA VLADIMIR NAZOR SPLIT";"Splitsko-dalmatinska županija";"21000";"Split";"ZAGREBAČKA 2";"Srednja škola";"Splitsko-dalmatinska županija";"Ankica  Kovač";"021/348-381, 021/344-922, 021/344-922";"021/315-250";"vnazor@petagimnazijast.hr";"www.petagimnazijast.hr"
"17-126-510";"Nadbiskupijska klasična gimnazija Don FRANE BULIĆ - s pravom javnosti";"Splitsko-dalmatinska županija";"21000";"Split";"ZRINSKO-FRANKOPANSKA 19";"Srednja škola";"Nadbiskupija splitsko-makarska";"Don Josip  Dukić";"021/323-443, 021/323-440, 021/323-441";"021/386-149";"tajnistvo@nkg-split.hr";""
"17-126-511";"Ekonomsko-birotehnička škola u Splitu";"Splitsko-dalmatinska županija";"21000";"Split";"VUKOVARSKA 37";"Srednja škola";"Splitsko-dalmatinska županija";"Neda  Bartulin";"021/401-312, 021/401-311,021/ 401-317, 021/401-316, 021/401-300";"";"ured@ss-ekonomsko-birotehnicka-st.skole.hr";""
"17-126-512";"KOMERCIJALNO-TRGOVAČKA ŠKOLA SPLIT";"Splitsko-dalmatinska županija";"21000";"Split";"ANTUNA GUSTAVA MATOŠA 60";"Srednja škola";"Splitsko-dalmatinska županija";"Velimir  Ćurčija";"021/386-031,041, 021/386-829";"021/386-829";"trgovacka-skola-split@skole.hr, ured@ss-kom-trg-st.skole.hr";""
"17-126-513";"SREDNJA TEHNIČKA PROMETNA ŠKOLA";"Splitsko-dalmatinska županija";"21000";"Split";"TESLINA 4";"Srednja škola";"Splitsko-dalmatinska županija";"Josip  Balić";"021/385-937, 021/344-649, 385-942, 021/385-910";"021/385-903";"tajnistvo@ss-tehnicka-prometna-st.skole.hr";"http://ss-tehnicka-prometna-st.skole.hr/"
"17-126-514";"TEHNIČKA ŠKOLA ZA STROJARSTVO I MEHATRONIKU";"Splitsko-dalmatinska županija";"21000";"Split";"Zrinsko-Frankopanska 23";"Srednja škola";"Splitsko-dalmatinska županija";"Marin  Tvrdić";"021/385-944, 021/322-283, 021/322-284";"021/385-940";"tssm@tehnickaskola-split.hr";"www.tehnickaskola-split.hr"
"17-126-515";"OBRTNA TEHNIČKA ŠKOLA";"Splitsko-dalmatinska županija";"21000";"Split";"Plančićeva 1";"Srednja škola";"Splitsko-dalmatinska županija";"Renato  Žuvela";"021/385-938, 021/385-939, 021-386-197";"021/385-938";"ured@ss-obrtna-tehnicka-st.skole.hr";""
"17-126-516";"INDUSTRIJSKA ŠKOLA";"Splitsko-dalmatinska županija";"21000";"Split";"ZRINSKO FRANKOPANSKA 40";"Srednja škola";"Splitsko-dalmatinska županija";"Ivana  Vojnović";"021/380-776, 021/380-776, 021/322-177";"021/380-773";"info@ss-industrijska-st.skole.hr, info@industrijskaskola.hr";""
"17-126-517";"ŠKOLA ZA DIZAJN, GRAFIKU I ODRŽIVU GRADNJU";"Splitsko-dalmatinska županija";"21000";"Split";"Matice Hrvatske 11";"Srednja škola";"Splitsko-dalmatinska županija";"Ivan  Kovačević";"021/434-580, 021/434-580, 021/434-581";"021/465-427";"ured@ss-dizajngrafikuiodrzivugradnju-st.skole.hr";"www.gogss.hr"
"17-126-518";"POMORSKA ŠKOLA";"Splitsko-dalmatinska županija";"21000";"Split";"ZRINSKO FRANKOPANSKA 36";"Srednja škola";"Splitsko-dalmatinska županija";"Dragan  Pavelin";"021/380-749, 021/380-764, 021/380-764";"021/380-764";"office@pomsk.hr";""
"17-126-520";"ŠKOLA LIKOVNIH UMJETNOSTI";"Splitsko-dalmatinska županija";"21000";"Split";"FAUSTA VRANČIĆA 17";"Srednja škola, Umjetnička škola";"Splitsko-dalmatinska županija";"Mladen  Bilankov";"021/467-177, 021/467-179";"021/467-177";"skola-likovnih-umjetnosti@st.t-com.hr";"www.umjetnicka.com"
"17-126-521";"Zdravstvena škola";"Splitsko-dalmatinska županija";"21000";"Split";"ŠOLTANSKA 15";"Srednja škola";"Splitsko-dalmatinska županija";"Mirjana  Kurtović";"021/466-018, 021/466-018, 095 2225 876 / 098 225 876";"021/535-869, 021 535 869";"split@zdravstvenaskola.hr";""
"17-126-522";"TURISTIČKO - UGOSTITELJSKA ŠKOLA, SPLIT";"Splitsko-dalmatinska županija";"21000";"Split";"A. G. MATOŠA 60";"Srednja škola";"Splitsko-dalmatinska županija";"Ivo  Bilić";"021/386-824, 021/386-824, 021/386-652";"021/386-827";"ured@tus-st.hr";"http://ss-turisticko-ugostiteljska-st.skole.hr/"
"17-126-527";"SREDNJA ŠKOLA DENTAL CENTAR MARUŠIĆ";"Splitsko-dalmatinska županija";"21000";"Split";"BENKOVAČKA 10 A";"Srednja škola";"Hrvoje Marušić";"Gordana  Radnić";"021/502-600, 502-492";"021/501-141";"dental.marusic@dentalcentarmarusic.com";"www.dentalcentarmarusic.com"
"17-126-528";"Privatna jezična gimnazija PITAGORA, srednja škola s pravom javnosti";"Splitsko-dalmatinska županija";"21000";"Split";"Držićeva 8";"Srednja škola";"1. Dražen Pažanin / 2. Perica Barbaroša";"Perica  Barbaroša";"021/360-022";"021/348-199";"ured@gimnazija-privatna-jezicna-pitagora-st.skole.hr, gimnazija@pitagora-gimnazija.hr";"www.pitagora-gimnazija.hr"
"17-126-529";"Privatna srednja škola Marko Antun de Dominis, s pravom javnosti";"Splitsko-dalmatinska županija";"21000";"Split";"Put Brodarice 6";"Srednja škola";"Jelica Pražen";"Jelica  Pražen";"021/493-542, 021/ 493-542";"021/493-542";"privatnaskola@dominis.hr, ravnateljica@dominis.hr";""
"17-126-530";"GIMNAZIJSKI KOLEGIJ KRALJICA JELENA s pravom javnosti";"Splitsko-dalmatinska županija";"21000";"Split";"NODILOVA 1";"Srednja škola";"Ivan Plazibat";"Koraljka  Bezina";"021/321-222";"021/321-221";"gimnazijakraljicajelena1@gmail.com";""
"17-444-501";"SREDNJA ŠKOLA BOL";"Splitsko-dalmatinska županija";"21420";"Bol";"RUDINA 1";"Srednja škola";"Splitsko-dalmatinska županija";"Sani  Bodlović";"021/635-141, 635-652, 021/717-068";"021/635-141";"ured@ss-bol.skole.hr, sani.bodlovic@skole.hr";""
"17-445-501";"KLESARSKA ŠKOLA PUČIŠĆA";"Splitsko-dalmatinska županija";"21412";"Pučišća";"NOVO RIVA 4";"Srednja škola";"Splitsko-dalmatinska županija";"Tamara  Plastić";"021/633-076, 021/633-114, 021 718 366, 021 633 548";"021/633-114";"klesarska-skola@st.htnet.hr, klesarska.skola@inet.hr";""
"17-468-501";"SREDNJA ŠKOLA BRAČ";"Splitsko-dalmatinska županija";"21400";"Supetar";"ULICA KRALJA PETRA KREŠIMIRA IV. br. 2";"Srednja škola";"Splitsko-dalmatinska županija";"Ivan  Meštrović";"021/631-152, 021/757-167";"021/630-884";"ured@ss-brac-supetar.skole.hr";"http://ss-brac-supetar.skole.hr/"
"18-006-501";"SREDNJA ŠKOLA ""VLADIMIR GORTAN"" - SCUOLA MEDIA SUPERIORE ""VLADIMIR GORTAN""";"Istarska županija";"52460";"Buje";"Školski brijeg 1";"Srednja škola";"Istarska županija";"Ana  Zubčić Kuhar";"052/772-113";"052/720-288";"ured@ss-vgortan-buje.skole.hr";""
"18-006-502";"Talijanska srednja škola - Scuola media superiore italiana ""Leonardo da Vinci""";"Istarska županija";"52460";"Buje";"ŠKOLSKI BRIJEG 1";"Srednja škola";"Istarska županija";"Irena  Penko";"052/772-233, 052/772-233, 052/722-180";"052/772-429";"sssms@pu.t-com.hr, irena.penko@skole.hr";""
"18-006-503";"GOSPODARSKA ŠKOLA ISTITUTO PROFESSIONALE";"Istarska županija";"52460";"Buje";"ŠKOLSKI BRIJEG 1";"Srednja škola";"Istarska županija";"Milivoj  Gospić";"052/772-077, 052/492-772, 052/492-770, 052/492-776, 052/492-775, 052/492-774, 052/492-771";"052/720-354";"skola@ss-gospodarska-buje.skole.hr, milivoj.gospic@skole.hr";""
"18-007-501";"SREDNJA ŠKOLA BUZET";"Istarska županija";"52420";"Buzet";"Antuna Cerovca-Tončića 7";"Srednja škola";"Istarska županija";"Marija  Pavletić";"052/662-764, 052/662-764, 052/662-707";"052/662-056";"ured@ss-buzet.skole.hr";"http://www.ss-buzet.skole.hr"
"18-044-501";"Srednja škola Mate Blažine Labin";"Istarska županija";"52220";"Labin";"Rudarska 4";"Srednja škola";"Istarska županija";"Čedomir  Ružić";"052/856-277, 052/856-277, 052/856-277";"052/855-329";"ssmb@ss-mblazine-labin.skole.hr";""
"18-065-501";"Gimnazija i strukovna škola Jurja Dobrile, Pazin";"Istarska županija";"52000";"Pazin";"ŠETALIŠTE PAZINSKE GIMNAZIJE 11";"Srednja škola";"Istarska županija";"Josip  Šiklić";"052/624-017, 052/624-017, 052/624-184";"052/624-226";"gssjd@gssjd.hr";""
"18-065-502";"PAZINSKI KOLEGIJ - KLASIČNA GIMNAZIJA PAZIN s pravom javnosti";"Istarska županija";"52000";"Pazin";"J. DOBRILE 6";"Srednja škola";"Porečko-pulska biskupija";"Alejandro  Castillo Jimenez";"052/624-505, 052/624-505, 052/624-649, 052/624-283";"052/624-224";"kolegij@pazinski-kolegij.hr, ured@gimnazija-klasicna-pazinskikolegij.skole.hr";""
"18-068-501";"Srednja škola Mate Balote";"Istarska županija";"52440";"Poreč";"KARLA HUGUESA 6";"Srednja škola";"Istarska županija";"Krešimir  Bronić";"052/431-055, 052/ 431-085";"052/431-246";"ss-mbalote@ss-mbalote-porec.skole.hr";""
"18-068-502";"TURISTIČKO - UGOSTITELJSKA ŠKOLA ANTONA ŠTIFANIĆA POREČ";"Istarska županija";"52440";"Poreč";"PRVOMAJSKA 6";"Srednja škola";"Istarska županija";"Vesna  Baranašić";"052/429-250";"052/431-622";"ured@ss-astifanica-porec.skole.hr, tus-porec@email.ht.hr, skola-a.stifanic@pu.t-com.hr";""
"18-069-501";"Škola za turizam, ugostiteljstvo i trgovinu";"Istarska županija";"52100";"Pula";"KANDLEROVA 48";"Srednja škola";"Istarska županija";"Orhideja  Petković";"052/218-787, 052/218-778, 052/368-683";"052/218-796";"skturugo@pu.t-com.hr, tajnistvo@ss-tur-ugo-trg-pu.skole.hr";""
"18-069-502";"Gimnazija Pula";"Istarska županija";"52100";"Pula";"TRIERSKA 8";"Srednja škola";"Istarska županija";;"052/212-144, 052/212-144, 212-258, 052/212-144";"052/212-258";"gimnazija@gimnazija-pula.skole.hr";"http://gimnazija-pula.skole.hr/"
"18-069-503";"INDUSTRIJSKO - OBRTNIČKA ŠKOLA PULA";"Istarska županija";"52100";"Pula";"RIZZIJEVA 40";"Srednja škola";"Istarska županija";"Petar  Gavrić";"052/216-121, 052/216-121, 052/216-121, 052/216-124";"052/216-124";"ios.pula@skole.hr";""
"18-069-504";"Škola primijenjenih umjetnosti i dizajna - Pula";"Istarska županija";"52100";"Pula";"Radićeva 19";"Srednja škola, Umjetnička škola";"Istarska županija";"Davor  Kliman";"052/223-377, 052/382-548";"052/223-377";"skola-dizajn@pu.t-com.hr, ured@ss-primijenjenihumjetnostiidizajna-pu.skole.hr";"www.ss-primijenjenihumjetnostiidizajna-pu.skole.hr"
"18-069-505";"TALIJANSKA SREDNJA ŠKOLA DANTE ALIGHIERI, PULA - SCUOLA MEDIA SUPERIORE ITALIANA DANTE ALIGHIERI, POLA";"Istarska županija";"52100";"Pula";"S. SANTORIO 3";"Srednja škola";"Istarska županija";"Debora  Radolović";"052/385-091, 052/385-090, 052/385-092";"052/385-098";"dante@ss-dante-pula.skole.hr";""
"18-069-506";"Ekonomska škola Pula";"Istarska županija";"52100";"Pula";"KOVAČIĆEVA 3";"Srednja škola";"Istarska županija";"Petko  Radulović";"052/222-761, 052/210-717, 052/214-452, 052/380-558, 052/380-559";"052/222-761";"ekonomska-skola-pula@ss-ekonomska-pu.skole.hr";"ss-ekonomska-pu.skole.hr"
"18-069-507";"Medicinska škola Pula";"Istarska županija";"52100";"Pula";"Zagrebačka 30";"Srednja škola";"Istarska županija";"Gordana  Ćoso";"052/543-144, 052/383202";"052/543-144";"sluzbena_adresa@ss-medicinska-pu.skole.hr";""
"18-069-508";"TEHNIČKA ŠKOLA PULA";"Istarska županija";"52100";"Pula";"JURJA CVEČIĆA 7";"Srednja škola";"Istarska županija";"Sandra  Balde";"052/218-461, 052/218-461";"052/218-562";"ured@ss-tehnicka-pu.skole.hr";"www.ss-tehnicka-pu.skole.hr"
"18-069-509";"Strukovna škola Pula";"Istarska županija";"52100";"Pula";"ZAGREBAČKA 22";"Srednja škola";"Istarska županija";"Ivo  Bebek";"052/216-261, 052/215-516, 052/215-517, 052/508-194, 217-086";"";"strukovna-skola-pula@ss-strukovna-pu.skole.hr, strukovna-pula@post.ht.hr";""
"18-069-515";"Privatna gimnazija Juraj Dobrila, s pravom javnosti";"Istarska županija";"52100";"Pula";"Istarska 8";"Srednja škola";"Branka Červar";"Branimir  Červar";"052/386-719, 098 35 48 048";"052/382-260";"bcervar@net.hr";""
"18-072-501";"Talijanska srednja škola - Scuola media superiore italiana Rovinj - Rovigno";"Istarska županija";"52210";"Rovinj";"CARDUCCIJEVA ULICA 20";"Srednja škola";"Istarska županija";"Ines  Venier";"052/813-277, 052/813-277, 052/840-984";"052/840-985";"smsir@pu.t-com.hr";"http://www.smsir.hr/"
"18-072-502";"SREDNJA ŠKOLA ZVANE ČRNJE ROVINJ, SCUOLA MEDIA SUPERIORE ""ZVANE ČRNJA"" ROVIGNO";"Istarska županija";"52210";"Rovinj";"Carduccijeva ulica  20";"Srednja škola";"Istarska županija";"Ingrid  Sau";"052/830-154, 052/830-154  kod kuće  052/812-766    052/811-766, 052/840-655";"052/830-931";"ured@ss-zcrnje-rovinj.skole.hr";""
"18-072-503";"STRUKOVNA ŠKOLA EUGENA KUMIČIĆA ROVINJ - SCUOLA DI FORMAZIONE PROFESSIONALE EUGEN KUMIČIĆ ROVIGNO";"Istarska županija";"52210";"Rovinj";"CARDUCCIJEVA 13";"Srednja škola";"Istarska županija";"Emil  Nimčević";"052/813-047, 052/813-047, 052/818-042";"052/818-042";"ssek@pu.t-com.hr, SS-ROVINJ-503@skole.t-com.hr";"http://www.ssek.hr"
"19-018-502";"Obrtnička i tehnička škola Dubrovnik";"Dubrovačko-neretvanska županija";"20000";"Dubrovnik";"IVA VOJNOVIĆA 12";"Srednja škola";"Dubrovačko-neretvanska županija";"Dinko  Mandić";"020/331-626, 020/331-646, 020/331-636, 333-073";"020/331-626";"obrtnicka-skola-dubrovnik@du.t-com.hr, obrtnicka.skola.dubrovnik@du.t-com.hr";""
"19-018-503";"BISKUPIJSKA KLASIČNA GIMNAZIJA RUĐERA BOŠKOVIĆA s pravom javnosti";"Dubrovačko-neretvanska županija";"20000";"Dubrovnik";"POLJANA RUĐERA BOŠKOVIĆA 6";"Srednja škola";"BISKUPIJA DUBROVAČKA";"Bernardo  Pleše";"020/324-062, 020/324-625";"020/324-609";"ured@gimnazija-klasicna-rboskovic-du.skole.hr";""
"19-018-504";"EKONOMSKA I TRGOVAČKA ŠKOLA";"Dubrovačko-neretvanska županija";"20000";"Dubrovnik";"Iva Vojnovića 14";"Srednja škola";"Dubrovačko-neretvanska županija";"Suzana  Đurđević";"020/331-620, 020/331-624, 020/331-622";"020/331-620";"ured@ss-ekonomskaitrgovacka-du.skole.hr";""
"19-018-505";"GIMNAZIJA DUBROVNIK";"Dubrovačko-neretvanska županija";"20000";"Dubrovnik";"FRANA SUPILA 3";"Srednja škola";"Dubrovačko-neretvanska županija";"Katarina  Tolja";"020/432-569, 020/422-033, 098645554, 0994325695";"020/ 432569 020/ 422033";"gimnazija-dubrovnik@du.t-com.hr";""
"19-018-506";"MEDICINSKA ŠKOLA DUBROVNIK";"Dubrovačko-neretvanska županija";"20000";"Dubrovnik";"BALTAZARA BOGIŠIĆA 1O";"Srednja škola";"Dubrovačko-neretvanska županija";"Marina  Rudenjak-Lukenda";"020/420-504, 020/421-806, 020/412-460, 020 311 474";"020/421-806";"ured@ss-medicinska-du.skole.hr, tajnistvo@dumed.hr, ravnateljica@dumed.hr, marina.lukenda-rudenjak@skole.hr, knjiznica@dumed.hr, racunovodstvo@dumed.hr";""
"19-018-507";"POMORSKO-TEHNIČKA ŠKOLA DUBROVNIK";"Dubrovačko-neretvanska županija";"20000";"Dubrovnik";"MILJENKA BRATOŠA 4";"Srednja škola";"Dubrovačko-neretvanska županija";"Antonio  Lučić";"020/435-987, 020/435-987, 020/435-989, 020/435-979";"020/435-987";"tajnistvo.pomorskaskola@gmail.com, tajnistvo.pomorskaskola@gmail.com";""
"19-018-508";"TURISTIČKA I UGOSTITELJSKA ŠKOLA DUBROVNIK";"Dubrovačko-neretvanska županija";"20000";"Dubrovnik";"ŽUPSKA 2";"Srednja škola";"Dubrovačko-neretvanska županija";"Antun  Perušina";"020/640-411, 020/640-400, 640-410 kuh. 640-422";"020/640-401,  020/640-410";"ravnatelj@tusdu.hr, tajnistvo@tusdu.hr";""
"19-038-501";"SREDNJA ŠKOLA PETRA ŠEGEDINA";"Dubrovačko-neretvanska županija";"20260";"Korčula";"ANTE STARČEVIĆA 52";"Srednja škola";"Dubrovačko-neretvanska županija";"Lovre  Botica";"020/711-129, 020/711- 129, 020/715-060, 020/711-904, 020 711 314";"020/715-060";"srednja.skola.korcula@du.t-com.hr";""
"19-038-502";"Srednja škola Vela Luka";"Dubrovačko-neretvanska županija";"20270";"Vela Luka";"ULICA  5 BR. 9";"Srednja škola";"Dubrovačko-neretvanska županija";"Ofelija  Dragojević";"020/812-972, 020/812-972, 020/812-456";"020/812-972, 020/812-516";"ssvl@ss-vela-luka.skole.hr";"http://www.ssvl.hr, http://ss-vela-luka.skole.hr"
"19-049-501";"SREDNJA ŠKOLA METKOVIĆ";"Dubrovačko-neretvanska županija";"20350";"Metković";"KRALJA ZVONIMIRA 12";"Srednja škola";"Dubrovačko-neretvanska županija";"Marijo  Obradović";"020/681-088, 020/681-712";"020/681-712";"racunovodstvo@ss-metkovic.skole.hr, ured@ss-metkovic.skole.hr";""
"19-049-502";"Gimnazija METKOVIĆ";"Dubrovačko-neretvanska županija";"20350";"Metković";"KRALJA ZVONIMIRA 12";"Srednja škola";"Dubrovačko-neretvanska županija";"Jozo  Jurković";"020/681-344, 690-121, 020/681-344, 098/344-099";"020/681-344";"tajnistvo@gimnazija-metkovic.com, ured@gimnazija-metkovic.skole.hr";""
"19-112-501";"SREDNJA ŠKOLA FRA ANDRIJE KAČIĆA MIOŠIĆA";"Dubrovačko-neretvanska županija";"20340";"Ploče";"TINA UJEVIĆA  5";"Srednja škola";"Dubrovačko-neretvanska županija";"Ina  Žderić";"020/679-631, 020/679-139";"020/679-139";"ured@ss-fraandrijekacicamiosica-ploce.skole.hr";""
"19-511-501";"Srednja škola Blato";"Dubrovačko-neretvanska županija";"20271";"Blato";"1. ULICA 25/1";"Srednja škola";"Dubrovačko-neretvanska županija";"Ivo  Gavranić";"020/851-313, 020/851-313, 020/851-002";"020/851-002";"srednja-skola-blato@du.htnet.hr";""
