naziv;opis;sifra;podsifra;zupanija;mjesto;e_mail;web;url
OSNOVNA ŠKOLA AUGUST CESAREC;Osnovna škola;10-316-001;0-0;Virovitičko-podravska;33404  Špišić Bukovica;ured@os-acesarec-spisicbukovica.skole.hr;NA;www.os-acesarec-spisicbukovica.skole.hr
OSNOVNA ŠKOLA PETRA PRERADOVIĆA;Osnovna škola;10-317-001;0-0;Virovitičko-podravska;33405  Pitomača;os-pitomaca-tajnistvo@vt.t-com.hr , ured@os-ppreradovica-pitomaca.skole.hr , racunovodstvo@os-ppreradovica-pitomaca.skole.hr ;www.os-ppreradovica-pitomaca.skole.hr;www.os-ppreradovica-pitomaca.skole.hr
OSNOVNA ŠKOLA BRAĆE RADIĆA PAKRAC;Osnovna škola;11-064-001;0-0;Požeško-slavonska;34550  Pakrac;ured@os-brace-radica-pakrac.skole.hr;http://os-brace-radica-pakrac.skole.hr/;http://os-brace-radica-pakrac.skole.hr/
Osnovna škola Dobriša Cesarić;Osnovna škola;11-077-001;0-0;Požeško-slavonska;34000  Požega;skola@os-dcesaric-pozega.skole.hr;http://www.os-dcesaric-pozega.skole.hr/;http://www.os-dcesaric-pozega.skole.hr/
Osnovna škola Julija Kempfa;Osnovna škola;11-077-002;0-0;Požeško-slavonska;34000  Požega;skola@os-jkempfa-pozega.skole.hr;http://os-jkempfa-pozega.skole.hr/;http://os-jkempfa-pozega.skole.hr/
OSNOVNA ŠKOLA ANTUNA KANIŽLIĆA;Osnovna škola;11-077-003;0-0;Požeško-slavonska;34000  Požega;akanizlica@os-akanizlica-pozega.skole.hr;http://os-akanizlica-pozega.skole.hr/;http://os-akanizlica-pozega.skole.hr/
Katolička osnovna škola u Požegi;Osnovna škola;11-077-005;0-0;Požeško-slavonska;34000  Požega;kos@kospz.hr , ured@os-katolicka-pz.skole.hr;os-katolicka-pz.skole.hr;os-katolicka-pz.skole.hr
Osnovna škola Dragutina Lermana;Osnovna škola;11-318-001;0-0;Požeško-slavonska;34322  Brestovac;ured@os-dlermana-brestovac.skole.hr;NA;www.os-dlermana-brestovac.skole.hr
OSNOVNA ŠKOLA STJEPANA RADIĆA ČAGLIN;Osnovna škola;11-319-001;0-0;Požeško-slavonska;34350  Čaglin;os-caglin@os-sradica-caglin.skole.hr;NA;www.os-sradica-caglin.skole.hr
Osnovna škola Mladost;Osnovna škola;11-320-001;0-0;Požeško-slavonska;34308  Jakšić;mladost-jaksic@os-mladost-jaksic.skole.hr;http://os-mladost-jaksic.skole.hr/;http://os-mladost-jaksic.skole.hr/
Osnovna škola Vilima Korajca;Osnovna škola;11-321-001;0-0;Požeško-slavonska;34334  Kaptol;ured@os-vkorajca-kaptol.skole.hr;NA;www.os-vkorajca-kaptol.skole.hr
Osnovna škola Zdenka Turkovića;Osnovna škola;11-322-001;0-0;Požeško-slavonska;34340  Kutjevo;tajnistvo@os-zturkovica-kutjevo.skole.hr ,  ravnatelj@os-zturkovica-kutjevo.skole.hr , os-zdenka-turkovica@po.t-com.hr;NA;www.os-zturkovica-kutjevo.skole.hr
Osnovna škola fra Kaje Adžića Pleternica;Osnovna škola;11-323-001;0-0;Požeško-slavonska;34310  Pleternica;skola@os-frakajeadzica-pleternica.skole.hr;http://os-frakajeadzica-pleternica.skole.hr/;http://os-frakajeadzica-pleternica.skole.hr/
OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ;Osnovna škola;11-324-001;0-0;Požeško-slavonska;34330  Velika;ured@os-igkovacic-velika.skole.hr;os-igkovacic-velika.skole.hr;os-igkovacic-velika.skole.hr
OSNOVNA ŠKOLA VLADIMIR NAZOR;Osnovna škola;11-324-002;0-0;Požeško-slavonska;34330  Trenkovo;skola@os-vnazor-trenkovo.skole.hr;www.os-vnazor-trenkovo.skole.hr/;www.os-vnazor-trenkovo.skole.hr/
Osnovna škola Lipik;Osnovna škola;11-327-001;0-0;Požeško-slavonska;34551  Lipik;ured@os-lipik.skole.hr , osnovna.skola.lipik@oslipik.tcloud.hr;http://os-lipik.skole.hr/;http://os-lipik.skole.hr/
OSNOVNA ŠKOLA GRIGORA VITEZA POLJANA;Osnovna škola;11-327-002;0-0;Požeško-slavonska;34543  Poljana;ured@os-gviteza-poljana.skole.hr;NA;www.os-gviteza-poljana.skole.hr
Osnovna škola Ljudevita Gaja Nova Gradiška;Osnovna škola;12-051-001;0-0;Brodsko-posavska;35400  Nova Gradiška;ured@os-ljgaja-ng.skole.hr;os-ljgaja-ng.skole.hr ;os-ljgaja-ng.skole.hr 
Osnovna škola Mato Lovrak;Osnovna škola, Umjetnička škola;12-051-002;0-0;Brodsko-posavska;35400  Nova Gradiška;ured@os-mlovrak-ng.skole.hr  , ravnatelj@os-mlovrak-ng.skole.hr;http://os-mlovrak-ng.skole.hr;http://os-mlovrak-ng.skole.hr
OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ;Osnovna škola;12-078-001;0-0;Brodsko-posavska;35000  Slavonski Brod;ured@os-igkovacic-sb.skole.hr;os-igkovacic-sb.skole.hr;os-igkovacic-sb.skole.hr
OSNOVNA ŠKOLA ANTUN MIHANOVIĆ;Osnovna škola;12-078-002;0-0;Brodsko-posavska;35000  Slavonski Brod;antun.mihanovic@os-amihanovic-sb.skole.hr;NA;www.os-amihanovic-sb.skole.hr
OSNOVNA ŠKOLA HUGO BADALIĆ;Osnovna škola;12-078-003;0-0;Brodsko-posavska;35000  Slavonski Brod;ured@os-hbadalic-sb.skole.hr;NA;www.os-hbadalic-sb.skole.hr
OSNOVNA ŠKOLA ĐURO PILAR;Osnovna škola;12-078-004;0-0;Brodsko-posavska;35000  Slavonski Brod;ured@os-djpilar-sb.skole.hr;http://os-djpilar-sb.skole.hr/;http://os-djpilar-sb.skole.hr/
OSNOVNA ŠKOLA BOGOSLAV ŠULEK;Osnovna škola;12-078-005;0-0;Brodsko-posavska;35000  Slavonski Brod;ured@os-bsulek-sb.skole.hr;http://os-bsulek-sb.skole.hr;http://os-bsulek-sb.skole.hr
OSNOVNA ŠKOLA VLADIMIR NAZOR;Osnovna škola;12-078-006;0-0;Brodsko-posavska;35000  Slavonski Brod;os-vnazor-sb@os-vnazor-sb.skole.hr;NA;www.os-vnazor-sb.skole.hr
OSNOVNA ŠKOLA IVANA BRLIĆ-MAŽURANIĆ;Osnovna škola;12-078-007;0-0;Brodsko-posavska;35000  Slavonski Brod;skola@os-ibmazuranic-sb.skole.hr;http://os-ibmazuranic-sb.skole.hr/;http://os-ibmazuranic-sb.skole.hr/
OSNOVNA ŠKOLA BLAŽ TADIJANOVIĆ;Osnovna škola;12-078-008;0-0;Brodsko-posavska;35000  Slavonski Brod;ured@os-btadijanovic-sb.skole.hr;NA;www.os-btadijanovic-sb.skole.hr
OSNOVNA ŠKOLA MILAN AMRUŠ;Osnovna škola;12-078-009;0-0;Brodsko-posavska;35000  Slavonski Brod;ured@os-mamrus-sb.skole.hr;http://os-mamrus-sb.skole.hr/;http://os-mamrus-sb.skole.hr/
Osnovna škola Dragutin Tadijanović;Osnovna škola;12-078-011;0-0;Brodsko-posavska;35000  Slavonski Brod;os.dragutin.tadijanovic@sb.t-com.hr , ured@os-dragutin-tadijanovic-sb.skole.hr;www.os-dragutin-tadijanovic-sb-skole.hr;www.os-dragutin-tadijanovic-sb-skole.hr
OSNOVNA ŠKOLA ANTUN MATIJA RELJKOVIĆ;Osnovna škola;12-329-001;0-0;Brodsko-posavska;35254  Bebrina;os-bebrina@os-amreljkovic-bebrina.skole.hr;http://os-amreljkovic-bebrina.skole.hr/;http://os-amreljkovic-bebrina.skole.hr/
OSNOVNA ŠKOLA VIKTOR CAR EMIN;Osnovna škola;12-331-001;0-0;Brodsko-posavska;35214  Donji Andrijevci;skola@os-vcemin-donjiandrijevci.skole.hr;http://www.os-vcemin-donjiandrijevci.skole.hr/;http://www.os-vcemin-donjiandrijevci.skole.hr/
OSNOVNA ŠKOLA AUGUSTA ŠENOE;Osnovna škola;12-332-001;0-0;Brodsko-posavska;35222  Gundinci;ured@os-asenoe-gundinci.skole.hr;http://os-asenoe-gundinci.skole.hr;http://os-asenoe-gundinci.skole.hr
OSNOVNA ŠKOLA VJEKOSLAV KLAIĆ;Osnovna škola;12-333-001;0-0;Brodsko-posavska;35212  Garčin;ured@os-vklaic-garcin.skole.hr;NA;www.os-vklaic-garcin.skole.hr
Osnovna škola Sibinjskih žrtava;Osnovna škola;12-335-001;0-0;Brodsko-posavska;35252  Sibinj;ured@os-sibinjskihzrtava-sibinj.hr , tajnistvo@os-sibinjskihzrtava-sibinj.skole.hr;NA;www.os-sibinjskihzrtava-sibinj.hr
OSNOVNA ŠKOLA JOSIP KOZARAC SLAVONSKI ŠAMAC;Osnovna škola;12-336-001;0-0;Brodsko-posavska;35220  Kruševica;ured@os-jkozarac-slavonski-samac.skole.hr;http://os-jkozarac-slavonski-samac.skole.hr/;http://os-jkozarac-slavonski-samac.skole.hr/
Osnovna škola Sikirevci;Osnovna škola;12-336-002;0-0;Brodsko-posavska;35224  Sikirevci;os-sikirevci@os-sikirevci.skole.hr;os-sikirevci.skole.hr;os-sikirevci.skole.hr
OSNOVNA ŠKOLA DR. STJEPAN ILIJAŠEVIĆ;Osnovna škola;12-337-001;0-0;Brodsko-posavska;35250  Oriovac;racunovodstvo@os-silijasevic-oriovac.skole.hr , tajnistvo@os-silijasevic-oriovac.skole.hr ;NA;www.os-silijasevic-oriovac.skole.hr
OSNOVNA ŠKOLA LJUDEVIT GAJ;Osnovna škola;12-337-002;0-0;Brodsko-posavska;35257  Lužani;ured@os-ljgaj-luzani.skole.hr;NA;www.os-ljgaj-luzani.skole.hr
OSNOVNA ŠKOLA IVAN MEŠTROVIĆ;Osnovna škola;12-338-001;0-0;Brodsko-posavska;35210  Vrpolje;tajnistvo@os-imestrovic-vrpolje.skole.hr , ured@os-imestrovic-vrpolje.skole.hr;os-imestrovic-vrpolje.skole.hr ;os-imestrovic-vrpolje.skole.hr 
OSNOVNA ŠKOLA IVAN FILIPOVIĆ;Osnovna škola;12-339-001;0-0;Brodsko-posavska;35221  Velika Kopanica;ured@os-ifilipovic-velikakopanica.skole.hr;www.os-ifilipovic-velikakopanica.skole.hr;www.os-ifilipovic-velikakopanica.skole.hr
Osnovna škola Stjepan Radić Oprisavci;Osnovna škola;12-341-001;0-0;Brodsko-posavska;35213  Oprisavci;ured@os-sradic-oprisavci.skole.hr;NA;www.os-sradic-oprisavci.skole.hr
Osnovna škola Matija Gubec Cernik;Osnovna škola;12-342-001;0-0;Brodsko-posavska;35404  Cernik;ured@os-mgubec-cernik.skole.hr;www.os-mgubec-cernik.skole.hr;www.os-mgubec-cernik.skole.hr
Osnovna škola Matija Antun Relković;Osnovna škola;12-343-001;0-0;Brodsko-posavska;35425  Davor;os-davor@os-mareljkovic-davor.skole.hr;NA;www.os-mareljkovic-davor.skole.hr
Osnovna škola Dragalić;Osnovna škola;12-344-001;0-0;Brodsko-posavska;35428  Dragalić;skola@os-dragalic.skole.hr;www.os-dragalic.skole.hr;www.os-dragalic.skole.hr
Osnovna škola Antun Mihanović Nova Kapela Batrina;Osnovna škola;12-346-001;0-0;Brodsko-posavska;35410  Batrina;ured@os-amihanovic-batrina.skole.hr;http://os-amihanovic-batrina.skole.hr/;http://os-amihanovic-batrina.skole.hr/
Osnovna škola Okučani;Osnovna škola;12-347-001;0-0;Brodsko-posavska;35430  Okučani;os-okucani@sb.t-com.hr , ured@os-okucani.skole.hr;http://os-okucani.skole.hr/;http://os-okucani.skole.hr/
Osnovna škola Ante Starčevića;Osnovna škola;12-348-001;0-0;Brodsko-posavska;35403  Rešetari;ured@os-astarcevic-resetari.skole.hr;http://os-astarcevic-resetari.skole.hr/;http://os-astarcevic-resetari.skole.hr/
Osnovna škola Vladimir Nazor;Osnovna škola;12-348-002;0-0;Brodsko-posavska;35422  Adžamovci;ured@os-vnazor-adzamovci.skole.hr;os-v.nazor-adzamovci.skole.hr;os-v.nazor-adzamovci.skole.hr
Osnovna škola Ivana Gorana Kovačića;Osnovna škola;12-349-001;0-0;Brodsko-posavska;35420  Staro Petrovo Selo;ured@os-igkovacic-staropetrovoselo.skole.hr;http://os-igkovacic-staropetrovoselo.skole.hr/;http://os-igkovacic-staropetrovoselo.skole.hr/
Osnovna škola Markovac;Osnovna škola;12-349-002;0-0;Brodsko-posavska;35414  Vrbova;skola@os-markovac-vrbova.skole.hr;http://os-markovac-vrbova.skole.hr/;http://os-markovac-vrbova.skole.hr/
OSNOVNA ŠKOLA BENKOVAC;Osnovna škola;13-002-001;0-0;Zadarska;23420  Benkovac;ravnatelj@os-benkovac.skole.hr , racunovodstvo@os-benkovac.skole.hr , logoped@os-benkovac.skole.hr , psiholog@os-benkovac.skole.hr , knjiznica@os-benkovac.skole.hr , ured@os-benkovac.skole.hr  , os-benkovac@zd.t-com.hr;NA;www.os-benkovac.skole.hr
Osnovna škola Biograd;Osnovna škola, Umjetnička škola;13-003-001;0-0;Zadarska;23210  Biograd na Moru;os.biograd@os-biogradnamoru.skole.hr;os-biogradnamoru.skole.hr;os-biogradnamoru.skole.hr
OSNOVNA ŠKOLA NIKOLE TESLE;Osnovna škola;13-027-001;0-0;Zadarska;23440  Gračac;ured@os-ntesle-gracac.skole.hr;http://os-ntesle-gracac.skole.hr/;http://os-ntesle-gracac.skole.hr/
OSNOVNA ŠKOLA OBROVAC;Osnovna škola;13-055-001;0-0;Zadarska;23450  Obrovac;obrovac@os-obrovac.skole.hr;NA;www.os-obrovac.skole.hr
OSNOVNA ŠKOLA JURJA DALMATINCA PAG;Osnovna škola;13-063-001;0-0;Zadarska;23250  Pag;ured@os-jdalmatinca-pag.skole.hr;http://www.os-jdalmatinca-pag.skole.r;http://www.os-jdalmatinca-pag.skole.r
OSNOVNA ŠKOLA STANOVI;Osnovna škola;13-107-001;0-0;Zadarska;23000  Zadar;uprava@os-stanovi-zd.skole.hr;http://www.os-stanovi-zd.skole.hr/;http://www.os-stanovi-zd.skole.hr/
OSNOVNA ŠKOLA KRUNE KRSTIĆA - ZADAR;Osnovna škola;13-107-002;0-0;Zadarska;23000  Zadar;ured@os-kkrstica-zd.skole.hr;NA;www.os-kkrstica-zd.skole.hr
OSNOVNA ŠKOLA PETRA PRERADOVIĆA;Osnovna škola;13-107-003;0-0;Zadarska;23000  Zadar;ured@os-ppreradovica-zd.skole.hr;http://os-ppreradovica-zd.skole.hr/;http://os-ppreradovica-zd.skole.hr/
OSNOVNA ŠKOLA ŠIMUNA KOŽIČIĆA BENJE;Osnovna škola;13-107-004;0-0;Zadarska;23000  Zadar;ured@os-skbenje-zd.skole.hr;NA;www.os-skbenje-zd.skole.hr
Osnovna škola Šime Budinića - Zadar;Osnovna škola;13-107-005;0-0;Zadarska;23000  Zadar;os-s.budinica@zd.t-com.hr   , ured@os-sbudinica-zd.skole.hr;www.os-sbudinica-zd.skole.hr;www.os-sbudinica-zd.skole.hr
Osnovna škola Smiljevac;Osnovna škola;13-107-006;0-0;Zadarska;23000  Zadar;smiljevac@os-smiljevac-zd.skole.hr;NA;www.os-smiljevac-zd.skole.hr
Osnovna škola BARTULA KAŠIĆA;Osnovna škola;13-107-007;0-0;Zadarska;23000  Zadar;ured@os-bkasica-zadar.skole.hr , katica.skukan@skole.hr;http://os-bkasica-zadar.skole.hr/;http://os-bkasica-zadar.skole.hr/
Osnovna škola Voštarnica - Zadar;Osnovna škola;13-107-008;0-0;Zadarska;23000  Zadar;os-vostarnica@zd.t-com.hr;http://www.os-vostarnica-zd.skole.hr/;http://www.os-vostarnica-zd.skole.hr/
Osnovna škola ZADARSKI OTOCI - Zadar;Osnovna škola;13-107-009;0-0;Zadarska;23000  Zadar;ured@os-zadarski-otoci-zd.skole.hr;http://os-zadarski-otoci-zd.skole.hr/;http://os-zadarski-otoci-zd.skole.hr/
Privatna osnovna škola NOVA;Osnovna škola;13-107-011;0-0;Zadarska;23000  Zadar;skola@posnova.hr , ured.nova@skole.hr , privatna.osnovna.skola.nova@zd.t-com.hr;www.posnova.hr;www.posnova.hr
"KATOLIČKA OSNOVNA ŠKOLA ""IVO MAŠINA""";Osnovna škola;13-107-013;0-0;Zadarska;23000  Zadar;kos.ivomasina.zd@gmail.com;www.kosim.hr;www.kosim.hr
OSNOVNA ŠKOLA STJEPANA RADIĆA-BIBINJE;Osnovna škola;13-351-001;0-0;Zadarska;23205  Bibinje;mirka.sikiric@os-sradica-bibinje.skole.hr , os-bibinje@email.t-com.hr;http://www.os-stjepanaradica-bibinje.hr/;http://www.os-stjepanaradica-bibinje.hr/
OSNOVNA ŠKOLA SUKOŠAN;Osnovna škola;13-352-001;0-0;Zadarska;23206  Sukošan;ured@os-sukosan.skole.hr;www.os-sukosan.skole.hr;www.os-sukosan.skole.hr
OSNOVNA ŠKOLA ZEMUNIK;Osnovna škola;13-353-001;0-0;Zadarska;23222  Zemunik Donji;oszemunik@os-zemunik.skole.hr;http://os-zemunik.skole.hr/;http://os-zemunik.skole.hr/
OSNOVNA ŠKOLA GALOVAC;Osnovna škola;13-353-002;0-0;Zadarska;23222  Galovac;ured@os-galovac.skole.hr; www.os-galovac.skole.hr; www.os-galovac.skole.hr
Osnovna škola Vladimira Nazora - Škabrnje;Osnovna škola;13-354-001;0-0;Zadarska;23223  Škabrnja;ured@os-vnazora-skabrnja.skole.hr;NA;www.os-vnazora-skabrnja.skole.hr
OSNOVNA ŠKOLA POLIČNIK;Osnovna škola;13-355-001;0-0;Zadarska;23241  Poličnik;ured@os-policnik.skole.hr;NA;www.os-policnik.skole.hr
Osnovna škola Braća Ribar;Osnovna škola;13-356-001;0-0;Zadarska;23242  Posedarje;os-posedarje@os-brace-ribar-posedarje.skole.hr;NA;www.os-brace-ribar-posedarje.skole.hr
OSNOVNA ŠKOLA NOVIGRAD;Osnovna škola;13-357-001;0-0;Zadarska;23312  Novigrad;ured@os-novigrad.skole.hr;http://os-novigrad.skole.hr/;http://os-novigrad.skole.hr/
OSNOVNA ŠKOLA BRAĆE RADIĆ;Osnovna škola;13-357-002;0-0;Zadarska;23226  Pridraga;skola@os-brace-radic-pridraga.skole.hr;NA;www.os-brace-radic-pridraga.skole.hr
Osnovna škola Starigrad;Osnovna škola;13-358-001;0-0;Zadarska;23244  Starigrad;skola@os-starigrad-paklenica.skole.hr;NA;www.os-starigrad-paklenica.skole.hr
Osnovna škola Jurja Barakovića Ražanac;Osnovna škola;13-359-001;0-0;Zadarska;23248  Ražanac;ured@os-jbarakovica-razanac.skole.hr;www. os-jbarakovica-razanac.skole.hr;www. os-jbarakovica-razanac.skole.hr
OSNOVNA ŠKOLA ˝PETAR ZORANIĆ˝;Osnovna škola;13-360-001;0-0;Zadarska;23232  Nin;ured@os-pzoranic-nin.skole.hr;http://www.os-pzoranic-nin.skole.hr/;http://www.os-pzoranic-nin.skole.hr/
OSNOVNA ŠKOLA PRIVLAKA;Osnovna škola;13-360-002;0-0;Zadarska;23233  Privlaka;ured@os-privlaka.skole.hr;http://os-privlaka.skole.hr/;http://os-privlaka.skole.hr/
Osnovna škola VALENTIN KLARIN Preko;Osnovna škola;13-362-001;0-0;Zadarska;23273  Preko;vklarin@os-vklarin-preko.skole.hr;NA;www.os-vklarin-preko.skole.hr
Osnovna škola PETAR LORINI;Osnovna škola;13-364-001;0-0;Zadarska;23281  Sali;ured@os-plorini-sali.skole.hr , os-petar-lorini@zd.htnet.hr;http://os-plorini-sali.skole.hr;http://os-plorini-sali.skole.hr
OSNOVNA ŠKOLA VLADIMIR NAZOR;Osnovna škola;13-365-001;0-0;Zadarska;23264  Neviđane;ured@os-vnazor-nevidjane.skole.hr;NA;www.os-vnazor-nevidjane.skole.hr
Osnovna škola Pakoštane;Osnovna škola;13-366-001;0-0;Zadarska;23211  Pakoštane;os-pakostane@os-pakostane.skole.hr;http://www.os-pakostane.skole.hr/;http://www.os-pakostane.skole.hr/
Osnovna škola Sv. Filip i Jakov;Osnovna škola;13-367-001;0-0;Zadarska;23207  Sveti Filip i Jakov;svetifilipijakov@os-svetifilipijakov.skole.hr;http://os-svetifilipijakov.skole.hr/;http://os-svetifilipijakov.skole.hr/
OSNOVNA ŠKOLA PETRA ZORANIĆA;Osnovna škola;13-368-001;0-0;Zadarska;23243  Jasenice;ospzoranicajasenice@os-pzoranic-jasenice.skole.hr;os-pzoranic-jasenice.skole.hr;os-pzoranic-jasenice.skole.hr
OSNOVNA ŠKOLA FRANKA LISICE POLAČA;Osnovna škola;13-372-001;0-0;Zadarska;23423  Polača;ured@os-polaca.skole.hr;www.os-polaca.skole.hr;www.os-polaca.skole.hr
"Osnovna škola ""Ivan Goran Kovačić""";Osnovna škola;13-374-001;0-0;Zadarska;23420  Lišane Ostrovičke;ured@os-igkovacic-lisaneostrovicke.skole.hr;http://os-igkovacic-lisaneostrovicke.skole.hr/;http://os-igkovacic-lisaneostrovicke.skole.hr/
OSNOVNA ŠKOLA PETAR ZORANIĆ;Osnovna škola;13-375-001;0-0;Zadarska;23422  Stankovci;ured@os-pzoranic-stankovci.skole.hr;NA;www.os-pzoranic-stankovci.skole.hr
Osnovna škola Šećerana;Osnovna škola;14-001-001;0-0;Osječko-baranjska;31300  Šećerana;skola@os-secerana.skole.hr;NA;www.os-secerana.skole.hr
OSNOVNA ŠKOLA DR. FRANJO TUĐMAN;Osnovna škola;14-001-002;0-0;Osječko-baranjska;31300  Beli Manastir;ured@os-drftudjman-beli-manastir.skole.hr;http://os-drftudjman-beli-manastir.skole.hr/;http://os-drftudjman-beli-manastir.skole.hr/
Osnovna škola August Harambašić;Osnovna škola, Umjetnička škola;14-016-001;0-0;Osječko-baranjska;31540  Donji Miholjac;dmiholjac@os-aharambasica-donjimiholjac.skole.hr;http://www.os-aharambasica-donjimiholjac.skole.hr;http://www.os-aharambasica-donjimiholjac.skole.hr
Osnovna škola Hrvatski sokol;Osnovna škola;14-016-002;0-0;Osječko-baranjska;31552  Podgajci Podravski;skola@os-hrvatskisokol-podgajcipodravski.skole.hr , skola@os-hrvatskisokol-podgajcipodravski.skole.hr;NA;www.os-hrvatskisokol-podgajcipodravski.skole.hr
Osnovna škola Budrovci;Osnovna škola;14-022-001;0-0;Osječko-baranjska;31400  Budrovci;ured@os-budrovci.skole.hr;http://os-budrovci.skole.hr/;http://os-budrovci.skole.hr/
Osnovna škola Ivan Goran Kovačić;Osnovna škola, Umjetnička škola;14-022-002;0-0;Osječko-baranjska;31400  Đakovo;igkdjak@gmail.com , igk@os-igkovacic-dj.skole.hr;http://os-igkovacic-dj.skole.hr/;http://os-igkovacic-dj.skole.hr/
Osnovna škola Vladimir Nazor;Osnovna škola;14-022-003;0-0;Osječko-baranjska;31400  Đakovo;ured@os-vnazor-dj.skole.hr;NA;www.os-vnazor-dj.skole.hr
Osnovna škola Josipa Antuna Ćolnića;Osnovna škola;14-022-004;0-0;Osječko-baranjska;31400  Đakovo;ured@os-jacolnica-dj.skole.hr;os-jacolnica-dj.skole.hr;os-jacolnica-dj.skole.hr
Osnovna škola Đakovački Selci;Osnovna škola;14-022-005;0-0;Osječko-baranjska;31415  Selci Đakovački;skola@os-selci-djakovacki.skole.hr;NA;www.os-selci-djakovacki.skole.hr
Osnovna škola Matija Gubec;Osnovna škola;14-022-006;0-0;Osječko-baranjska;31417  Piškorevci;ured@os-mgubec-piskorevci.skole.hr;http://os-mgubec-piskorevci.skole.hr;http://os-mgubec-piskorevci.skole.hr
Osnovna škola Satnica Đakovačka;Osnovna škola;14-022-007;0-0;Osječko-baranjska;31421  Satnica Đakovačka;ured@os-satnicadjakovacka.skole.hr;http://www.os-satnicadjakovacka.skole.hr/;http://www.os-satnicadjakovacka.skole.hr/
Osnovna škola Dore Pejačević Našice;Osnovna škola;14-050-001;0-0;Osječko-baranjska;31500  Našice;osdorepejacevic@os-dpejacevic-na.skole.hr , osdore@os-dpejacevic-na.skole.hr;www.os-dpejacevic-na.skole.hr;www.os-dpejacevic-na.skole.hr
Osnovna škola Ivana Brnjika Slovaka;Osnovna škola;14-050-002;0-0;Osječko-baranjska;31225  Jelisavac;ured@os-ibslovak-jelisavac.skole.hr;www.os-ibslovak-jelisavac.skole.hr;www.os-ibslovak-jelisavac.skole.hr
OSNOVNA ŠKOLA KRALJA TOMISLAVA;Osnovna škola;14-050-003;0-0;Osječko-baranjska;31500  Našice;ured@os-kralja-tomislava-na.skole.hr;http://os-kralja-tomislava-na.skole.hr/;http://os-kralja-tomislava-na.skole.hr/
Centar za odgoj i obrazovanje Ivan Štark;Osnovna škola;14-060-001;0-0;Osječko-baranjska;31000  Osijek;centar@centar-istark-os.skole.hr;NA;https://www.centar-istark-os.skole.hr/
Osnovna škola Svete Ane u Osijeku;Osnovna škola;14-060-002;0-0;Osječko-baranjska;31000  Osijek;ured@os-svete-ane-os.skole.hr;http://www.os-svete-ane-os.skole.hr;http://www.os-svete-ane-os.skole.hr
Osnovna škola Franje Krežme;Osnovna škola;14-060-003;0-0;Osječko-baranjska;31000  Osijek;ured@os-fkrezme-os.skole.hr;http://os-fkrezme-os.skole.hr/;http://os-fkrezme-os.skole.hr/
Osnovna škola Antuna Mihanovića;Osnovna škola;14-060-004;0-0;Osječko-baranjska;31000  Osijek;ured@os-amihanovica-os.skole.hr;http://os-amihanovica-os.skole.hr/;http://os-amihanovica-os.skole.hr/
Osnovna škola Vladimira Becića Osijek;Osnovna škola;14-060-005;0-0;Osječko-baranjska;31000  Osijek;os-vb@os-vbecica-os.skole.hr;NA;www.os-vbecica-os.skole.hr
Osnovna škola Mladost;Osnovna škola;14-060-006;0-0;Osječko-baranjska;31000  Osijek;osmladostos@gmail.com , ured@os-mladost-os.skole.hr;NA;www.os-mladost-os.skole.hr
Osnovna škola Frana Krste Frankopana;Osnovna škola;14-060-007;0-0;Osječko-baranjska;31000  Osijek;osijek@os-fkfrankopana-os.skole.hr;http://os-fkfrankopana-os-skole.hr;http://os-fkfrankopana-os-skole.hr
Osnovna škola Vijenac;Osnovna škola;14-060-008;0-0;Osječko-baranjska;31000  Osijek;vesna.vrbosic@skole.hr , ravnatelj@os-vijenac-os.skole.hr;os-vijenac-os.skole.hr;os-vijenac-os.skole.hr
Osnovna škola Ljudevita Gaja;Osnovna škola;14-060-009;0-0;Osječko-baranjska;31000  Osijek;skola@os-ljgaja-os.skole.hr;http://os-ljgaja-os.skole.hr/;http://os-ljgaja-os.skole.hr/
Osnovna škola Jagode Truhelke;Osnovna škola;14-060-010;0-0;Osječko-baranjska;31000  Osijek;skola@os-jtruhelke-os.skole.hr;www.os-jtruhelke-os.skole.hr;www.os-jtruhelke-os.skole.hr
Osnovna škola Grigor Vitez;Osnovna škola;14-060-011;0-0;Osječko-baranjska;31000  Osijek;dragana.marendic@skole.hr , skola@os-gvitez-os.skole.hr;NA;www.os-gvitez-os.skole.hr
Osnovna škola Tin Ujević;Osnovna škola;14-060-012;0-0;Osječko-baranjska;31000  Osijek;ured@os-tujevic-os.skole.hr;NA;www.os-tujevic-os.skole.hr
Osnovna škola Tenja;Osnovna škola;14-060-013;0-0;Osječko-baranjska;31207  Tenja;ured@os-tenja.skole.hr;NA;www.os-tenja.skole.hr
Osnovna škola Dobriša Cesarić;Osnovna škola;14-060-014;0-0;Osječko-baranjska;31000  Osijek;ured@os-dcesaric-os.skole.hr;http://os-dcesaric-os.skole.hr;http://os-dcesaric-os.skole.hr
Osnovna škola August Šenoa;Osnovna škola;14-060-015;0-0;Osječko-baranjska;31000  Osijek;asenoa@os-asenoa-os.skole.hr;NA;www.os-asenoa-os.skole.hr
Osnovna škola Josipovac;Osnovna škola;14-060-016;0-0;Osječko-baranjska;31221  Josipovac;skola@os-josipovac.skole.hr;NA;www.os-josipovac.skole.hr
